benchmark,allocator,pinning,source,instances,instance_id,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_none,default,numactl,torch,16,1,1,1,16,5.817519763822318
resnet_manual_none,default,numactl,torch,16,4,1,1,16,5.4738869320166765
resnet_manual_none,default,numactl,torch,16,6,1,1,16,5.191813742189515
resnet_manual_none,default,numactl,torch,16,5,1,1,16,5.182764823320952
resnet_manual_none,tcmalloc,numactl,torch,2,0,1,1,16,9.942966471242354
resnet_manual_none,tcmalloc,numactl,torch,2,2,1,1,16,9.771548577928888
resnet_manual_none,tcmalloc,numactl,torch,2,1,1,1,16,9.77116018179716
resnet_manual_none,tcmalloc,numactl,torch,4,0,1,1,16,9.952619399103119
resnet_manual_none,tcmalloc,numactl,torch,4,4,1,1,16,9.625822078012822
resnet_manual_none,tcmalloc,numactl,torch,4,3,1,1,16,9.627635570510867
resnet_manual_none,tcmalloc,numactl,torch,4,2,1,1,16,9.60352427578514
resnet_manual_none,tcmalloc,numactl,torch,4,1,1,1,16,9.580502319616173
resnet_manual_none,tcmalloc,numactl,torch,6,0,1,1,16,9.948303401590284
resnet_manual_none,tcmalloc,numactl,torch,6,6,1,1,16,9.46205675421054
resnet_manual_none,tcmalloc,numactl,torch,6,3,1,1,16,9.388139976832589
resnet_manual_none,tcmalloc,numactl,torch,6,4,1,1,16,9.387439933761968
resnet_manual_none,tcmalloc,numactl,torch,6,5,1,1,16,9.37067569311031
resnet_manual_none,tcmalloc,numactl,torch,6,2,1,1,16,9.377174434026777
resnet_manual_none,tcmalloc,numactl,torch,6,1,1,1,16,9.358057996652215
resnet_manual_none,tcmalloc,numactl,torch,8,0,1,1,16,9.950895351051448
resnet_manual_none,tcmalloc,numactl,torch,8,8,1,1,16,9.083542679692592
resnet_manual_none,tcmalloc,numactl,torch,8,3,1,1,16,9.076256679786615
resnet_manual_none,tcmalloc,numactl,torch,8,6,1,1,16,9.021777298382247
resnet_manual_none,tcmalloc,numactl,torch,8,7,1,1,16,9.0203229554375
resnet_manual_none,tcmalloc,numactl,torch,8,5,1,1,16,9.020542645955244
resnet_manual_none,tcmalloc,numactl,torch,8,4,1,1,16,9.018522091973967
resnet_manual_none,tcmalloc,numactl,torch,8,2,1,1,16,9.013473923341133
resnet_manual_none,tcmalloc,numactl,torch,8,1,1,1,16,9.005268938019192
resnet_manual_none,tcmalloc,numactl,torch,10,0,1,1,16,9.944800456305732
resnet_manual_none,tcmalloc,numactl,torch,10,6,1,1,16,8.45583628258919
resnet_manual_none,tcmalloc,numactl,torch,10,7,1,1,16,8.457017671614807
resnet_manual_none,tcmalloc,numactl,torch,10,8,1,1,16,8.445736206155901
resnet_manual_none,tcmalloc,numactl,torch,10,3,1,1,16,8.425141179428152
resnet_manual_none,tcmalloc,numactl,torch,10,4,1,1,16,8.411190822875056
resnet_manual_none,tcmalloc,numactl,torch,10,10,1,1,16,8.39125672460499
resnet_manual_none,tcmalloc,numactl,torch,10,2,1,1,16,8.383513673293285
resnet_manual_none,tcmalloc,numactl,torch,10,5,1,1,16,8.380816954352518
resnet_manual_none,tcmalloc,numactl,torch,10,1,1,1,16,8.328131286323021
resnet_manual_none,tcmalloc,numactl,torch,10,9,1,1,16,8.327482051351236
resnet_manual_none,tcmalloc,numactl,torch,12,0,1,1,16,9.94131270476451
resnet_manual_none,tcmalloc,numactl,torch,12,6,1,1,16,7.985596314070894
resnet_manual_none,tcmalloc,numactl,torch,12,7,1,1,16,7.985543957196057
resnet_manual_none,tcmalloc,numactl,torch,12,8,1,1,16,7.956774025418212
resnet_manual_none,tcmalloc,numactl,torch,12,11,1,1,16,7.938069264365988
resnet_manual_none,tcmalloc,numactl,torch,12,3,1,1,16,7.943839768256298
resnet_manual_none,tcmalloc,numactl,torch,12,4,1,1,16,7.934017542106314
resnet_manual_none,tcmalloc,numactl,torch,12,12,1,1,16,7.928016122507301
resnet_manual_none,tcmalloc,numactl,torch,12,9,1,1,16,7.905076565327652
resnet_manual_none,tcmalloc,numactl,torch,12,1,1,1,16,7.904050505599225
resnet_manual_none,tcmalloc,numactl,torch,12,5,1,1,16,7.900751580050427
resnet_manual_none,tcmalloc,numactl,torch,12,10,1,1,16,7.89546260627121
resnet_manual_none,tcmalloc,numactl,torch,12,2,1,1,16,7.925683642160113
resnet_manual_none,tcmalloc,numactl,torch,14,0,1,1,16,9.953549011781993
resnet_manual_none,tcmalloc,numactl,torch,14,8,1,1,16,7.264355907333055
resnet_manual_none,tcmalloc,numactl,torch,14,13,1,1,16,7.251205433751123
resnet_manual_none,tcmalloc,numactl,torch,14,7,1,1,16,7.254094898996057
resnet_manual_none,tcmalloc,numactl,torch,14,6,1,1,16,7.253323075564414
resnet_manual_none,tcmalloc,numactl,torch,14,14,1,1,16,7.241382936329576
resnet_manual_none,tcmalloc,numactl,torch,14,3,1,1,16,7.231944533201942
