benchmark,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_script,1,13,16,114.49743720104362
resnet_manual_script,1,14,16,122.10561912336095
resnet_manual_script,1,15,16,132.18654668371272
resnet_manual_script,1,16,16,130.99001552771776
resnet_manual_script,1,17,16,128.75554193005604
resnet_manual_script,1,18,16,141.1977111517296
resnet_manual_script,1,1,32,10.895802504454613
resnet_manual_script,1,2,32,19.633512436542496
resnet_manual_script,1,3,32,28.70560369055917
resnet_manual_script,1,4,32,41.71685703677069
resnet_manual_script,1,5,32,45.167963745145585
resnet_manual_script,1,6,32,52.01013959426985
resnet_manual_script,1,7,32,57.94880298407913
resnet_manual_script,1,8,32,71.93221685296619
resnet_manual_script,1,9,32,73.6544684648227
resnet_manual_script,1,10,32,79.58722151916275
resnet_manual_script,1,11,32,83.27496715670786
resnet_manual_script,1,12,32,106.64909908637304
resnet_manual_script,1,13,32,99.12378386904034
resnet_manual_script,1,14,32,99.56101808984351
resnet_manual_script,1,15,32,103.66872007573463
resnet_manual_script,1,16,32,116.32341454309639
resnet_manual_script,1,17,32,121.09108854332247
resnet_manual_script,1,18,32,123.1116117745998
