benchmark,topology,pinning,source,allocator,instance_id,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,16,14.545815829270934
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,16,28.970139412963462
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,16,43.369615967509695
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,16,57.666183069788
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,16,69.8962145041186
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,16,81.18099501577022
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,16,91.76303214923861
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,16,107.5420474112414
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,9,16,111.52559736448248
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,10,16,120.9155604292833
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,11,16,129.97570564375613
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,12,16,141.82754132556056
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,13,16,142.81984250945263
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,14,16,150.59790203533416
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,15,16,158.44759319549237
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,16,16,167.64595532172638
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,1,32,14.467957184080735
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,2,32,28.765697077391284
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,3,32,43.304065422929575
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,4,32,57.63718193556718
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,5,32,69.76178108231427
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,6,32,81.00152169775666
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,7,32,91.06026460475722
resnet_manual_script,sequential,numactl,torch,tcmalloc,1,1,8,32,106.35738057034068
