benchmark,topology,pinning,allocator,instance_id,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_none,sequential,numactl,default,1,1,11,32,57.39023178909768
resnet_manual_none,sequential,numactl,default,1,1,12,32,66.50339434643537
resnet_manual_none,sequential,numactl,default,1,1,13,32,59.63760169202922
resnet_manual_none,sequential,numactl,default,1,1,14,32,70.76581215128112
resnet_manual_none,sequential,numactl,default,1,1,15,32,67.96342703731062
resnet_manual_none,sequential,numactl,default,1,1,16,32,74.036328139453
resnet_manual_none,sequential,numactl,default,1,1,1,64,8.098330519410846
resnet_manual_none,sequential,numactl,default,1,1,2,64,13.362695791747234
resnet_manual_none,sequential,numactl,default,1,1,3,64,16.80268066638394
resnet_manual_none,sequential,numactl,default,1,1,4,64,20.451002832445376
resnet_manual_none,sequential,numactl,default,1,1,5,64,26.492379628442293
resnet_manual_none,sequential,numactl,default,1,1,6,64,32.72703201423046
resnet_manual_none,sequential,numactl,default,1,1,7,64,32.816918075522885
resnet_manual_none,sequential,numactl,default,1,1,8,64,35.20193765143618
resnet_manual_none,sequential,numactl,default,1,1,9,64,46.63233154696139
resnet_manual_none,sequential,numactl,default,1,1,10,64,45.10347979045823
resnet_manual_none,sequential,numactl,default,1,1,11,64,47.24696504823786
resnet_manual_none,sequential,numactl,default,1,1,12,64,48.31095629623655
resnet_manual_none,sequential,numactl,default,1,1,13,64,54.99286033810323
resnet_manual_none,sequential,numactl,default,1,1,14,64,58.67070366860695
resnet_manual_none,sequential,numactl,default,1,1,15,64,53.91505964140095
resnet_manual_none,sequential,numactl,default,1,1,16,64,48.05390479850837
resnet_manual_none,sequential,numactl,default,1,1,1,128,5.33015715969344
resnet_manual_none,sequential,numactl,default,1,1,2,128,10.061333294857926
resnet_manual_none,sequential,numactl,default,1,1,3,128,14.491439770832152
resnet_manual_none,sequential,numactl,default,1,1,4,128,18.56799716210219
resnet_manual_none,sequential,numactl,default,1,1,5,128,22.197128586568613
resnet_manual_none,sequential,numactl,default,1,1,6,128,25.277599306414935
resnet_manual_none,sequential,numactl,default,1,1,7,128,28.099690186990177
resnet_manual_none,sequential,numactl,default,1,1,8,128,31.55803854968356
resnet_manual_none,sequential,numactl,default,1,1,9,128,33.43254655038911
resnet_manual_none,sequential,numactl,default,1,1,10,128,35.58329823356286
resnet_manual_none,sequential,numactl,default,1,1,11,128,37.39203093862222
resnet_manual_none,sequential,numactl,default,1,1,12,128,39.732901322946184
resnet_manual_none,sequential,numactl,default,1,1,13,128,40.59117341426907
resnet_manual_none,sequential,numactl,default,1,1,14,128,41.63477344315938
resnet_manual_none,sequential,numactl,default,1,1,15,128,43.17339180634182
resnet_manual_none,sequential,numactl,default,1,1,16,128,44.38340405609139
resnet_manual_none,sequential,numactl,default,1,1,1,256,5.285929831634915
resnet_manual_none,sequential,numactl,default,1,1,2,256,9.922632587634876
resnet_manual_none,sequential,numactl,default,1,1,3,256,14.407950939323385
resnet_manual_none,sequential,numactl,default,1,1,4,256,18.409331020634507
resnet_manual_none,sequential,numactl,default,1,1,5,256,21.763733092486834
resnet_manual_none,sequential,numactl,default,1,1,6,256,24.892320231057994
resnet_manual_none,sequential,numactl,default,1,1,7,256,27.705569623715263
resnet_manual_none,sequential,numactl,default,1,1,8,256,31.093437432901244
resnet_manual_none,sequential,numactl,default,1,1,9,256,32.93922047673936
resnet_manual_none,sequential,numactl,default,1,1,10,256,35.18228124717274
resnet_manual_none,sequential,numactl,default,1,1,11,256,37.16887223396774
resnet_manual_none,sequential,numactl,default,1,1,12,256,39.51048175947776
resnet_manual_none,sequential,numactl,default,1,1,13,256,40.17801052558719
resnet_manual_none,sequential,numactl,default,1,1,14,256,41.50256130491725
resnet_manual_none,sequential,numactl,default,1,1,15,256,42.63746941742878
resnet_manual_none,sequential,numactl,default,1,1,16,256,43.1986803864518
resnet_manual_none,sequential,numactl,default,1,1,1,512,5.285116448222624
resnet_manual_none,sequential,numactl,default,1,1,2,512,9.92258666987084
resnet_manual_none,sequential,numactl,default,1,1,3,512,14.333157719750337
resnet_manual_none,sequential,numactl,default,1,1,4,512,18.341176267847988
resnet_manual_none,sequential,numactl,default,1,1,5,512,21.819312313244392
resnet_manual_none,sequential,numactl,default,1,1,6,512,24.735076813417976
resnet_manual_none,sequential,numactl,default,1,1,7,512,27.765754565083846
resnet_manual_none,sequential,numactl,default,1,1,8,512,31.137783959228507
resnet_manual_none,sequential,numactl,default,1,1,9,512,32.8024708270595
resnet_manual_none,sequential,numactl,default,1,1,10,512,35.10257311675003
resnet_manual_none,sequential,numactl,default,1,1,11,512,36.7879994438531
resnet_manual_none,sequential,numactl,default,1,1,12,512,39.39039146446988
resnet_manual_none,sequential,numactl,default,1,1,13,512,40.008049901479865
resnet_manual_none,sequential,numactl,default,1,1,14,512,41.373703654752354
resnet_manual_none,sequential,numactl,default,1,1,15,512,42.737921773535156
resnet_manual_none,sequential,numactl,default,1,1,16,512,43.82130575107755
resnet_manual_none,sequential,numactl,default,1,1,1,1024,5.207779547434986
resnet_manual_none,sequential,numactl,default,1,1,2,1024,9.81205036851078
resnet_manual_none,sequential,numactl,default,1,1,3,1024,14.154494475104054
resnet_manual_none,sequential,numactl,default,1,1,4,1024,18.161010134238115
resnet_manual_none,sequential,numactl,default,1,1,5,1024,21.493931496635927
resnet_manual_none,sequential,numactl,default,1,1,6,1024,24.786560498907544
resnet_manual_none,sequential,numactl,default,1,1,7,1024,27.46049538201529
resnet_manual_none,sequential,numactl,default,1,1,8,1024,30.93999668488901
resnet_manual_none,sequential,numactl,default,1,1,9,1024,32.81295134365265
resnet_manual_none,sequential,numactl,default,1,1,10,1024,34.776913548346535
resnet_manual_none,sequential,numactl,default,1,1,11,1024,36.81110041620042
resnet_manual_none,sequential,numactl,default,1,1,12,1024,39.02082843526486
resnet_manual_none,sequential,numactl,default,1,1,13,1024,39.729575456348734
resnet_manual_none,sequential,numactl,default,1,1,14,1024,40.85137758817708
resnet_manual_none,sequential,numactl,default,1,1,15,1024,42.17551788290655
resnet_manual_none,sequential,numactl,default,1,1,16,1024,43.48173501296534
resnet_manual_script,sequential,numactl,default,1,1,1,1,16.76216314622502
resnet_manual_script,sequential,numactl,default,1,1,2,1,31.219322469336497
resnet_manual_script,sequential,numactl,default,1,1,3,1,42.46992655948877
resnet_manual_script,sequential,numactl,default,1,1,4,1,53.82545391796292
resnet_manual_script,sequential,numactl,default,1,1,5,1,56.10640946877402
resnet_manual_script,sequential,numactl,default,1,1,6,1,65.55986642708896
resnet_manual_script,sequential,numactl,default,1,1,7,1,71.20549285724326
resnet_manual_script,sequential,numactl,default,1,1,8,1,80.35766424702682
resnet_manual_script,sequential,numactl,default,1,1,9,1,71.34622188541331
resnet_manual_script,sequential,numactl,default,1,1,10,1,76.32019033608323
resnet_manual_script,sequential,numactl,default,1,1,11,1,80.29615386543324
resnet_manual_script,sequential,numactl,default,1,1,12,1,84.93834861239986
resnet_manual_script,sequential,numactl,default,1,1,13,1,82.82153441336781
resnet_manual_script,sequential,numactl,default,1,1,14,1,85.88007599879401
resnet_manual_script,sequential,numactl,default,1,1,15,1,87.6423878992483
resnet_manual_script,sequential,numactl,default,1,1,16,1,91.8507325969857
resnet_manual_script,sequential,numactl,default,1,1,1,2,17.52507998086531
resnet_manual_script,sequential,numactl,default,1,1,2,2,33.73549766465063
resnet_manual_script,sequential,numactl,default,1,1,3,2,46.804375823908515
resnet_manual_script,sequential,numactl,default,1,1,4,2,61.16479300203243
resnet_manual_script,sequential,numactl,default,1,1,5,2,63.82253601605078
resnet_manual_script,sequential,numactl,default,1,1,6,2,75.31046925408994
resnet_manual_script,sequential,numactl,default,1,1,7,2,85.01661133210222
resnet_manual_script,sequential,numactl,default,1,1,8,2,94.81182367076786
resnet_manual_script,sequential,numactl,default,1,1,9,2,90.5742981259945
resnet_manual_script,sequential,numactl,default,1,1,10,2,95.60019490651919
resnet_manual_script,sequential,numactl,default,1,1,11,2,101.34383511225066
resnet_manual_script,sequential,numactl,default,1,1,12,2,111.87494751096904
resnet_manual_script,sequential,numactl,default,1,1,13,2,108.83321333558175
resnet_manual_script,sequential,numactl,default,1,1,14,2,112.34013717273557
resnet_manual_script,sequential,numactl,default,1,1,15,2,117.26049491206017
resnet_manual_script,sequential,numactl,default,1,1,16,2,119.75290119102058
resnet_manual_script,sequential,numactl,default,1,1,1,4,18.10466946400198
resnet_manual_script,sequential,numactl,default,1,1,2,4,35.397668740887795
resnet_manual_script,sequential,numactl,default,1,1,3,4,50.20199282001551
resnet_manual_script,sequential,numactl,default,1,1,4,4,65.34685789835855
resnet_manual_script,sequential,numactl,default,1,1,5,4,69.59253753337269
resnet_manual_script,sequential,numactl,default,1,1,6,4,82.34573201128559
resnet_manual_script,sequential,numactl,default,1,1,7,4,93.63981156019922
resnet_manual_script,sequential,numactl,default,1,1,8,4,106.2935545224436
resnet_manual_script,sequential,numactl,default,1,1,9,4,101.89443659934443
resnet_manual_script,sequential,numactl,default,1,1,10,4,112.15029625484448
resnet_manual_script,sequential,numactl,default,1,1,11,4,119.38765876538825
resnet_manual_script,sequential,numactl,default,1,1,12,4,129.43524711033683
resnet_manual_script,sequential,numactl,default,1,1,13,4,129.51602045523083
resnet_manual_script,sequential,numactl,default,1,1,14,4,133.70841337704178
resnet_manual_script,sequential,numactl,default,1,1,15,4,141.00428779747565
resnet_manual_script,sequential,numactl,default,1,1,16,4,151.98465381574172
resnet_manual_script,sequential,numactl,default,1,1,1,8,17.836038523005524
resnet_manual_script,sequential,numactl,default,1,1,2,8,35.23983611734926
resnet_manual_script,sequential,numactl,default,1,1,3,8,50.521014134513635
resnet_manual_script,sequential,numactl,default,1,1,4,8,66.3339273786165
resnet_manual_script,sequential,numactl,default,1,1,5,8,70.53110026323681
resnet_manual_script,sequential,numactl,default,1,1,6,8,82.06700778168056
resnet_manual_script,sequential,numactl,default,1,1,7,8,92.49667418390992
resnet_manual_script,sequential,numactl,default,1,1,8,8,108.92868142261837
resnet_manual_script,sequential,numactl,default,1,1,9,8,106.68003447162266
resnet_manual_script,sequential,numactl,default,1,1,10,8,116.9232682350877
resnet_manual_script,sequential,numactl,default,1,1,11,8,126.22252780025603
resnet_manual_script,sequential,numactl,default,1,1,12,8,136.64345062190756
resnet_manual_script,sequential,numactl,default,1,1,13,8,134.74644585620658
resnet_manual_script,sequential,numactl,default,1,1,14,8,143.60649251083657
resnet_manual_script,sequential,numactl,default,1,1,15,8,150.69622424991377
resnet_manual_script,sequential,numactl,default,1,1,16,8,161.18976720335786
resnet_manual_script,sequential,numactl,default,1,1,1,16,16.092007887328847
resnet_manual_script,sequential,numactl,default,1,1,2,16,30.408032042353646
resnet_manual_script,sequential,numactl,default,1,1,3,16,45.23529145419926
resnet_manual_script,sequential,numactl,default,1,1,4,16,55.91628393874044
resnet_manual_script,sequential,numactl,default,1,1,5,16,63.36804426819386
resnet_manual_script,sequential,numactl,default,1,1,6,16,72.89426308669296
resnet_manual_script,sequential,numactl,default,1,1,7,16,83.1126722791273
resnet_manual_script,sequential,numactl,default,1,1,8,16,94.0856586876102
resnet_manual_script,sequential,numactl,default,1,1,9,16,91.67623927864149
resnet_manual_script,sequential,numactl,default,1,1,10,16,95.58523957201488
resnet_manual_script,sequential,numactl,default,1,1,11,16,106.47810180614522
resnet_manual_script,sequential,numactl,default,1,1,12,16,115.49307426431844
resnet_manual_script,sequential,numactl,default,1,1,13,16,111.78121173209857
resnet_manual_script,sequential,numactl,default,1,1,14,16,116.3642851942306
resnet_manual_script,sequential,numactl,default,1,1,15,16,127.18136458861316
resnet_manual_script,sequential,numactl,default,1,1,16,16,136.14132384348878
resnet_manual_script,sequential,numactl,default,1,1,1,32,14.120795051130724
resnet_manual_script,sequential,numactl,default,1,1,2,32,26.989404268418568
resnet_manual_script,sequential,numactl,default,1,1,3,32,38.256394295239126
resnet_manual_script,sequential,numactl,default,1,1,4,32,51.45236991216262
resnet_manual_script,sequential,numactl,default,1,1,5,32,55.217175907161355
resnet_manual_script,sequential,numactl,default,1,1,6,32,63.979058163504014
resnet_manual_script,sequential,numactl,default,1,1,7,32,70.15076693946139
resnet_manual_script,sequential,numactl,default,1,1,8,32,82.82255949366527
resnet_manual_script,sequential,numactl,default,1,1,9,32,79.65509915192959
resnet_manual_script,sequential,numactl,default,1,1,10,32,85.58937453610584
resnet_manual_script,sequential,numactl,default,1,1,11,32,92.18160529570793
resnet_manual_script,sequential,numactl,default,1,1,12,32,107.46931235978296
resnet_manual_script,sequential,numactl,default,1,1,13,32,103.14118527775132
resnet_manual_script,sequential,numactl,default,1,1,14,32,104.13207342912284
resnet_manual_script,sequential,numactl,default,1,1,15,32,106.33368556595312
resnet_manual_script,sequential,numactl,default,1,1,16,32,116.8713543752545
resnet_manual_script,sequential,numactl,default,1,1,1,64,13.446679681716498
resnet_manual_script,sequential,numactl,default,1,1,2,64,25.577596160772018
resnet_manual_script,sequential,numactl,default,1,1,3,64,37.16594593758788
resnet_manual_script,sequential,numactl,default,1,1,4,64,48.46406288748448
resnet_manual_script,sequential,numactl,default,1,1,5,64,50.74522214849463
resnet_manual_script,sequential,numactl,default,1,1,6,64,60.21034067667055
resnet_manual_script,sequential,numactl,default,1,1,7,64,65.51048338122679
resnet_manual_script,sequential,numactl,default,1,1,8,64,74.92316832845752
resnet_manual_script,sequential,numactl,default,1,1,9,64,77.09391534379209
resnet_manual_script,sequential,numactl,default,1,1,10,64,80.16373338837113
resnet_manual_script,sequential,numactl,default,1,1,11,64,88.37892490965493
resnet_manual_script,sequential,numactl,default,1,1,12,64,92.85792138058842
resnet_manual_script,sequential,numactl,default,1,1,13,64,92.25533775084921
resnet_manual_script,sequential,numactl,default,1,1,14,64,97.23307467550663
resnet_manual_script,sequential,numactl,default,1,1,15,64,103.28468774773027
resnet_manual_script,sequential,numactl,default,1,1,16,64,108.1142659479229
resnet_manual_script,sequential,numactl,default,1,1,1,128,12.90134190517978
resnet_manual_script,sequential,numactl,default,1,1,2,128,25.265419384047078
resnet_manual_script,sequential,numactl,default,1,1,3,128,35.884676485296104
resnet_manual_script,sequential,numactl,default,1,1,4,128,46.37858823442311
resnet_manual_script,sequential,numactl,default,1,1,5,128,50.04017023122823
resnet_manual_script,sequential,numactl,default,1,1,6,128,57.47362046678315
resnet_manual_script,sequential,numactl,default,1,1,7,128,64.32856575259414
resnet_manual_script,sequential,numactl,default,1,1,8,128,74.04236599043996
resnet_manual_script,sequential,numactl,default,1,1,9,128,73.45366082496683
resnet_manual_script,sequential,numactl,default,1,1,10,128,79.33677787868024
resnet_manual_script,sequential,numactl,default,1,1,11,128,84.35310150458609
resnet_manual_script,sequential,numactl,default,1,1,12,128,91.58285644973914
resnet_manual_script,sequential,numactl,default,1,1,13,128,90.84560473768605
resnet_manual_script,sequential,numactl,default,1,1,14,128,95.48445722811887
resnet_manual_script,sequential,numactl,default,1,1,15,128,99.5072231761795
resnet_manual_script,sequential,numactl,default,1,1,16,128,104.08569964096083
resnet_manual_script,sequential,numactl,default,1,1,1,256,12.726655233255665
resnet_manual_script,sequential,numactl,default,1,1,2,256,24.958441517006868
resnet_manual_script,sequential,numactl,default,1,1,3,256,35.43772036424401
resnet_manual_script,sequential,numactl,default,1,1,4,256,45.87790932122907
resnet_manual_script,sequential,numactl,default,1,1,5,256,49.52662189659252
