benchmark,topology,pinning,allocator,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
bert_manual_script,sequential,numactl,default,1,1,1,1,118.35627700202167,120.24857686948963,161.1156170256436,0.0
bert_manual_script,sequential,numactl,default,1,1,2,1,67.47188599547371,71.03318032051902,106.14158696262166,0.0
bert_manual_script,sequential,numactl,default,1,1,3,1,40.195522014983,41.5742069442058,55.946178967133164,0.0
bert_manual_script,sequential,numactl,default,1,1,4,1,32.19919599359855,33.46514999982901,49.28004799876362,0.0
bert_manual_script,sequential,numactl,default,1,1,5,1,30.288373993244022,31.096968210767955,44.562352006323636,0.0
bert_manual_script,sequential,numactl,default,1,1,6,1,26.012958958745003,26.786791361519136,40.544519026298076,0.0
bert_manual_script,sequential,numactl,default,1,1,7,1,23.9274839987047,24.57312985730823,36.73161199549213,0.0
bert_manual_script,sequential,numactl,default,1,1,8,1,22.21080503659323,23.012738677789457,33.43841701280326,0.0
bert_manual_script,sequential,numactl,default,1,1,9,1,23.821230977773666,24.560414000879973,40.177636954467744,0.0
bert_manual_script,sequential,numactl,default,1,1,10,1,21.096826007124037,21.667426427011378,31.220570032019168,0.0
bert_manual_script,sequential,numactl,default,1,1,11,1,20.97502804826945,21.498070892412215,34.64169200742617,0.0
bert_manual_script,sequential,numactl,default,1,1,12,1,20.843282982241362,21.830940007348545,38.62214897526428,0.0
bert_manual_script,sequential,numactl,default,1,1,13,1,20.270623033866286,20.466420740704052,23.0929059907794,0.0
bert_manual_script,sequential,numactl,default,1,1,14,1,20.72069200221449,20.942405730020255,25.244928954634815,0.0
bert_manual_script,sequential,numactl,default,1,1,15,1,20.47102601500228,20.764266821206547,24.176688981242478,0.0
bert_manual_script,sequential,numactl,default,1,1,16,1,20.777078985702246,20.98534300166648,24.324535042978823,0.0
bert_manual_script,sequential,numactl,default,1,1,1,2,134.83768899459392,136.87060630705673,147.69018098013476,0.0
bert_manual_script,sequential,numactl,default,1,1,2,2,76.6794559895061,81.10850496101193,123.32601501839235,0.0
bert_manual_script,sequential,numactl,default,1,1,3,2,47.04961000243202,49.15353701100685,67.58456700481474,0.0
bert_manual_script,sequential,numactl,default,1,1,4,2,37.52703097416088,39.1347825381672,55.161694006528705,0.0
bert_manual_script,sequential,numactl,default,1,1,5,2,35.919985035434365,37.14521930261981,49.94182102382183,0.0
bert_manual_script,sequential,numactl,default,1,1,6,2,30.960076954215765,31.94747081026435,45.17206095624715,0.0
bert_manual_script,sequential,numactl,default,1,1,7,2,28.58950401423499,29.545407288824208,43.43042802065611,0.0
bert_manual_script,sequential,numactl,default,1,1,8,2,26.555906981229782,27.61409343976993,40.79961002571508,0.0
