benchmark,topology,pinning,source,allocator,instance_id,interop_threads,intraop_threads,batch_size,throughput
bert_manual_none,sequential,numactl,torch,default,1,1,8,8,152.76759759697717
bert_manual_none,sequential,numactl,torch,default,1,1,9,8,81.52769515504818
bert_manual_none,sequential,numactl,torch,default,1,1,10,8,168.57912814434525
bert_manual_none,sequential,numactl,torch,default,1,1,11,8,87.58581434334508
bert_manual_none,sequential,numactl,torch,default,1,1,12,8,173.43984032261247
bert_manual_none,sequential,numactl,torch,default,1,1,13,8,87.12727757533868
bert_manual_none,sequential,numactl,torch,default,1,1,14,8,181.08526890673076
bert_manual_none,sequential,numactl,torch,default,1,1,15,8,88.05161091464481
bert_manual_none,sequential,numactl,torch,default,1,1,16,8,186.16044853285734
bert_manual_none,sequential,numactl,torch,default,1,1,1,16,35.325693951335516
bert_manual_none,sequential,numactl,torch,default,1,1,2,16,65.25365558279655
bert_manual_none,sequential,numactl,torch,default,1,1,3,16,72.41589142834648
bert_manual_none,sequential,numactl,torch,default,1,1,4,16,122.25353887213372
bert_manual_none,sequential,numactl,torch,default,1,1,5,16,97.04080207063937
bert_manual_none,sequential,numactl,torch,default,1,1,6,16,160.50238614344255
bert_manual_none,sequential,numactl,torch,default,1,1,7,16,115.02711107916781
bert_manual_none,sequential,numactl,torch,default,1,1,8,16,197.10813516473763
bert_manual_none,sequential,numactl,torch,default,1,1,9,16,120.12271372459183
bert_manual_none,sequential,numactl,torch,default,1,1,10,16,231.41383361336727
bert_manual_none,sequential,numactl,torch,default,1,1,11,16,144.80372541346597
bert_manual_none,sequential,numactl,torch,default,1,1,12,16,250.581622929762
bert_manual_none,sequential,numactl,torch,default,1,1,13,16,146.46650713206
bert_manual_none,sequential,numactl,torch,default,1,1,14,16,253.02998676696816
bert_manual_none,sequential,numactl,torch,default,1,1,15,16,150.0374582768274
bert_manual_none,sequential,numactl,torch,default,1,1,16,16,263.8211527003778
bert_manual_none,sequential,numactl,torch,default,1,1,1,32,39.80774768886967
bert_manual_none,sequential,numactl,torch,default,1,1,2,32,77.16183352605563
bert_manual_none,sequential,numactl,torch,default,1,1,3,32,98.3891104591813
bert_manual_none,sequential,numactl,torch,default,1,1,4,32,136.17466129663208
bert_manual_none,sequential,numactl,torch,default,1,1,5,32,134.03427804440346
bert_manual_none,sequential,numactl,torch,default,1,1,6,32,178.81757382569415
bert_manual_none,sequential,numactl,torch,default,1,1,7,32,160.28574778194377
bert_manual_none,sequential,numactl,torch,default,1,1,8,32,215.63603890095752
bert_manual_none,sequential,numactl,torch,default,1,1,9,32,182.88353411110657
bert_manual_none,sequential,numactl,torch,default,1,1,10,32,231.00173405898138
bert_manual_none,sequential,numactl,torch,default,1,1,11,32,194.62437421215267
bert_manual_none,sequential,numactl,torch,default,1,1,12,32,259.3158473015105
bert_manual_none,sequential,numactl,torch,default,1,1,13,32,202.59604783992484
bert_manual_none,sequential,numactl,torch,default,1,1,14,32,259.46989770907817
bert_manual_none,sequential,numactl,torch,default,1,1,15,32,210.09239073068963
bert_manual_none,sequential,numactl,torch,default,1,1,16,32,281.58109184993265
bert_manual_none,sequential,numactl,torch,default,1,1,1,64,43.013318990260984
bert_manual_none,sequential,numactl,torch,default,1,1,2,64,83.92195628968815
bert_manual_none,sequential,numactl,torch,default,1,1,3,64,115.82028825575782
bert_manual_none,sequential,numactl,torch,default,1,1,4,64,155.43677255070136
bert_manual_none,sequential,numactl,torch,default,1,1,5,64,174.80154601854628
bert_manual_none,sequential,numactl,torch,default,1,1,6,64,217.54601333318345
bert_manual_none,sequential,numactl,torch,default,1,1,7,64,218.68287804225474
bert_manual_none,sequential,numactl,torch,default,1,1,8,64,267.73119298665364
bert_manual_none,sequential,numactl,torch,default,1,1,9,64,236.365795270411
bert_manual_none,sequential,numactl,torch,default,1,1,10,64,293.21105474160487
bert_manual_none,sequential,numactl,torch,default,1,1,11,64,263.31686587411684
bert_manual_none,sequential,numactl,torch,default,1,1,12,64,328.38415260209405
bert_manual_none,sequential,numactl,torch,default,1,1,13,64,275.78687950050687
bert_manual_none,sequential,numactl,torch,default,1,1,14,64,338.4191821655962
bert_manual_none,sequential,numactl,torch,default,1,1,15,64,298.22715371302246
bert_manual_none,sequential,numactl,torch,default,1,1,16,64,370.07001745379307
bert_manual_none,sequential,numactl,torch,default,1,1,1,128,44.313060559794536
bert_manual_none,sequential,numactl,torch,default,1,1,2,128,87.57306999124698
bert_manual_none,sequential,numactl,torch,default,1,1,3,128,127.26537227441877
bert_manual_none,sequential,numactl,torch,default,1,1,4,128,165.59499315432734
bert_manual_none,sequential,numactl,torch,default,1,1,5,128,190.23982025969414
bert_manual_none,sequential,numactl,torch,default,1,1,6,128,232.82178323358704
bert_manual_none,sequential,numactl,torch,default,1,1,7,128,258.34680764386417
bert_manual_none,sequential,numactl,torch,default,1,1,8,128,285.91936117188817
bert_manual_none,sequential,numactl,torch,default,1,1,9,128,297.1088251785701
bert_manual_none,sequential,numactl,torch,default,1,1,10,128,314.2892713345085
bert_manual_none,sequential,numactl,torch,default,1,1,11,128,337.01723935793245
bert_manual_none,sequential,numactl,torch,default,1,1,12,128,374.23268663134064
bert_manual_none,sequential,numactl,torch,default,1,1,13,128,353.6955793535475
bert_manual_none,sequential,numactl,torch,default,1,1,14,128,397.29168907482796
bert_manual_none,sequential,numactl,torch,default,1,1,15,128,390.9411491848247
bert_manual_none,sequential,numactl,torch,default,1,1,16,128,434.5404065003647
bert_manual_none,sequential,numactl,torch,default,1,1,1,256,45.205828000457416
bert_manual_none,sequential,numactl,torch,default,1,1,2,256,89.05695830463623
bert_manual_none,sequential,numactl,torch,default,1,1,3,256,130.65495400193805
bert_manual_none,sequential,numactl,torch,default,1,1,4,256,170.92189772984736
