benchmark,topology,interop_threads,intraop_threads,batch_size,throughput
resnet_local_script,sequential,1,11,8,117.25960234303754
resnet_local_script,sequential,1,12,8,136.29372620380192
resnet_local_script,sequential,1,13,8,125.97785852057925
resnet_local_script,sequential,1,14,8,145.47839432548136
resnet_local_script,sequential,1,15,8,153.5659209233639
resnet_local_script,sequential,1,16,8,162.24784063148533
resnet_local_script,sequential,1,17,8,153.1829585695396
resnet_local_script,sequential,1,18,8,177.969649111676
resnet_local_script,sequential,1,1,16,11.529628601966131
resnet_local_script,sequential,1,2,16,21.919458338018423
resnet_local_script,sequential,1,3,16,32.43874432038463
resnet_local_script,sequential,1,4,16,45.290016280749015
resnet_local_script,sequential,1,5,16,50.9826599597463
resnet_local_script,sequential,1,6,16,64.48297858446668
resnet_local_script,sequential,1,7,16,71.20881323680395
resnet_local_script,sequential,1,8,16,83.66544097966151
resnet_local_script,sequential,1,9,16,88.07162889032489
resnet_local_script,sequential,1,10,16,99.56045463709377
resnet_local_script,sequential,1,11,16,106.05107075850373
resnet_local_script,sequential,1,12,16,113.99281636139285
resnet_local_script,sequential,1,13,16,110.74906230713276
resnet_local_script,sequential,1,14,16,121.32032594121758
resnet_local_script,sequential,1,15,16,117.46552357545859
resnet_local_script,sequential,1,16,16,128.78201881772
resnet_local_script,sequential,1,17,16,140.98908992042473
resnet_local_script,sequential,1,18,16,140.30065252492886
resnet_local_script,sequential,1,1,32,10.499969288645557
resnet_local_script,sequential,1,2,32,21.97692003409956
resnet_local_script,sequential,1,3,32,30.011210814433536
resnet_local_script,sequential,1,4,32,38.85740638931709
resnet_local_script,sequential,1,5,32,52.21752224906473
resnet_local_script,sequential,1,6,32,57.45438029079396
resnet_local_script,sequential,1,7,32,60.911155407699894
resnet_local_script,sequential,1,8,32,75.32473876737208
resnet_local_script,sequential,1,9,32,78.26261310527961
resnet_local_script,sequential,1,10,32,88.61500950232842
resnet_local_script,sequential,1,11,32,88.54960949493409
resnet_local_script,sequential,1,12,32,98.37667162544827
resnet_local_script,sequential,1,13,32,95.10866852268539
resnet_local_script,sequential,1,14,32,101.50670016923397
resnet_local_script,sequential,1,15,32,105.6279810220959
resnet_local_script,sequential,1,16,32,111.2317766550915
resnet_local_script,sequential,1,17,32,119.62277268951892
resnet_local_script,sequential,1,18,32,134.4793281707607
resnet_local_script,sequential,1,1,64,10.058598819433236
resnet_local_script,sequential,1,2,64,19.62659866766668
resnet_local_script,sequential,1,3,64,28.71860118440991
resnet_local_script,sequential,1,4,64,36.50092338204805
resnet_local_script,sequential,1,5,64,45.22285649329716
resnet_local_script,sequential,1,6,64,50.23677056748751
resnet_local_script,sequential,1,7,64,58.505322435077034
resnet_local_script,sequential,1,8,64,66.8143651128604
resnet_local_script,sequential,1,9,64,73.2417086528785
resnet_local_script,sequential,1,10,64,80.39936363792577
resnet_local_script,sequential,1,11,64,84.35889816924148
resnet_local_script,sequential,1,12,64,90.18477213744963
resnet_local_script,sequential,1,13,64,90.56926603564328
resnet_local_script,sequential,1,14,64,94.66485070392335
resnet_local_script,sequential,1,15,64,98.84918837198127
resnet_local_script,sequential,1,16,64,104.67727799038735
resnet_local_script,sequential,1,17,64,107.19897268560324
resnet_local_script,sequential,1,18,64,111.15958775876182
