benchmark,topology,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
resnet_remote_script,sequential,1,1,1,85.92545706778765,86.53705591335893,87.92710024863482,91.75865354086079
resnet_remote_script,sequential,1,2,1,45.017012394964695,45.23058280348778,45.626625418663025,175.5565203857532
resnet_remote_script,sequential,1,3,1,32.092757523059845,32.320484053343534,32.556637190282345,245.68084187398046
resnet_remote_script,sequential,1,4,1,24.704575538635254,24.84802696853876,25.23875143378973,319.5635509432546
resnet_remote_script,sequential,1,5,1,21.102627739310265,21.17669628933072,21.53032459318638,374.96517981421914
resnet_remote_script,sequential,1,6,1,18.274296075105667,18.32810338586569,18.681945279240608,433.2430674809262
resnet_remote_script,sequential,1,7,1,16.756996512413025,16.837484808638692,17.202051356434822,471.5979745339405
resnet_remote_script,sequential,1,8,1,15.055368654429913,15.164263630285859,15.506085939705372,523.6339808905258
resnet_remote_script,sequential,1,9,1,16.584557481110096,16.647556303068995,16.97669643908739,476.9783376876855
resnet_remote_script,sequential,1,10,1,15.65243024379015,15.727416798472404,16.075732186436653,504.88416716795217
resnet_remote_script,sequential,1,11,1,14.826943166553974,14.934723423793912,15.35864919424057,531.6820075388343
resnet_remote_script,sequential,1,12,1,14.26136028021574,14.438922554254532,14.86993208527565,549.9387992534296
resnet_remote_script,sequential,1,13,1,14.689285308122635,14.780828328803182,15.158554539084435,537.2177766604879
resnet_remote_script,sequential,1,14,1,14.358271844685078,14.417264815419912,14.797884039580822,550.7649220334258
resnet_remote_script,sequential,1,15,1,14.25545196980238,14.338589077815413,14.722430147230625,553.7869652939238
resnet_remote_script,sequential,1,16,1,13.43131996691227,13.5154923889786,13.89393862336874,587.5127226940849
resnet_remote_script,sequential,1,17,1,16.586744226515293,29.101604856550694,59.71261486411095,272.85518345606323
resnet_remote_script,sequential,1,18,1,17.761643044650555,25.658329222351313,71.74423430114985,309.4715818473053
resnet_remote_script,sequential,1,1,8,631.7764120176435,633.0262252967805,634.4281667843461,100.35011884415697
resnet_remote_script,sequential,1,2,8,318.1312307715416,327.6845088135451,342.09280740469694,193.8579799515203
resnet_remote_script,sequential,1,3,8,213.89423869550228,214.43477602675557,215.0027910247445,296.2404611650953
resnet_remote_script,sequential,1,4,8,161.94539703428745,162.2048210632056,162.67324797809124,391.6298943743898
resnet_remote_script,sequential,1,5,8,135.45925077050924,135.97659626044333,137.2332824394107,467.17051821424144
resnet_remote_script,sequential,1,6,8,116.21382087469101,116.56630766578019,117.05138441175222,544.96241849006
resnet_remote_script,sequential,1,7,8,103.11871487647295,103.41872211545706,103.8432652130723,614.2432979309227
resnet_remote_script,sequential,1,8,8,87.1841050684452,87.43272488936782,87.90084812790155,726.5501220553268
resnet_remote_script,sequential,1,9,8,81.10016584396362,81.27868490293622,81.6324120387435,781.5610822918859
resnet_remote_script,sequential,1,10,8,73.5438670963049,73.80504078231752,74.28317330777645,860.703500284758
resnet_remote_script,sequential,1,11,8,69.1608702763915,71.92691189236939,76.50973554700613,883.1778713794494
resnet_remote_script,sequential,1,12,8,64.46350459009409,64.78100375272334,65.42894337326288,980.6000719358951
resnet_remote_script,sequential,1,13,8,65.09756296873093,65.23874417878687,65.62907434999943,973.7198000916707
resnet_remote_script,sequential,1,14,8,61.01752072572708,63.3200110308826,67.96329095959663,1003.2256139219209
resnet_remote_script,sequential,1,15,8,58.981701731681824,59.222450917586684,59.70329511910677,1072.6380951102424
resnet_remote_script,sequential,1,16,8,55.746858939528465,59.2590048070997,62.32311949133873,1071.9764388008975
resnet_remote_script,sequential,1,17,8,53.847651928663254,54.02648825198412,54.447658360004425,1175.7983721562186
resnet_remote_script,sequential,1,18,8,51.897996105253696,52.03818437643349,52.46907286345959,1220.7239299603275
resnet_remote_script,sequential,1,1,16,1469.69560906291,1494.5465434435755,1510.7570653781295,85.00806728927178
