benchmark,threads,batch_size,latency(min),latency(avg),latency(max)
resnet_manual_none,1,1,90.92504600994289,99.27951386431232,126.99975399300456
resnet_manual_none,4,1,31.448627938516438,33.53153556934558,45.60729197692126
resnet_manual_none,8,1,22.884445963427424,23.575553129194304,31.029451987706125
resnet_manual_none,12,1,22.82714401371777,23.549160775728524,31.375770107842982
resnet_manual_none,16,1,22.29617303237319,22.890923689119518,31.554440036416054
resnet_manual_none,20,1,23.821700015105307,24.59573135129176,43.87931292876601
resnet_manual_none,24,1,24.350377032533288,25.468584661139175,55.50178897101432
resnet_manual_none,28,1,24.620683048851788,26.01783522288315,105.54152296390384
resnet_manual_none,32,1,30.965912039391696,32.729681390337646,134.44150995928794
resnet_manual_none,36,1,25.357837905175984,27.65883346553892,132.51582998782396
resnet_manual_none,1,8,614.7432839497924,652.4553589755669,852.172469953075
resnet_manual_none,4,8,183.5356029914692,194.52143860864453,270.1849180739373
resnet_manual_none,8,8,114.7165100555867,120.86523111560382,155.12190200388432
resnet_manual_none,12,8,97.34914801083505,106.5770892216824,149.91595898754895
resnet_manual_none,16,8,89.42843694239855,102.79222372104414,118.61370003316551
resnet_manual_none,20,8,78.04358704015613,86.67078884551302,112.84757102839649
resnet_manual_none,24,8,70.44939091429114,82.90219551650807,198.57725000474602
resnet_manual_none,28,8,64.65232698246837,73.14829979208298,191.2417580606416
resnet_manual_none,32,8,63.72076703701168,79.7118444298394,140.66085498780012
resnet_manual_none,36,8,63.045387039892375,79.7952933551278,142.1502740122378
resnet_manual_none,1,16,1329.95215698611,1841.0377975460142,2025.649490999058
resnet_manual_none,4,16,382.92351097334176,533.8543462741654,617.0699169160798
resnet_manual_none,8,16,224.43742502946407,332.0605254068505,401.5192100778222
resnet_manual_none,12,16,219.83499405905604,297.9806065117009,325.54168708156794
resnet_manual_none,16,16,167.25965798832476,234.61108575342223,310.09599403478205
resnet_manual_none,20,16,150.97586903721094,248.0464573786594,338.6331839719787
resnet_manual_none,24,16,140.03176498226821,235.2924777183216,320.60946396086365
resnet_manual_none,28,16,126.20752491056919,227.56361513980664,306.45652092061937
resnet_manual_none,32,16,111.29398795310408,219.7820096311625,304.1785330278799
resnet_manual_none,36,16,107.34045691788197,222.36051885294728,304.63349306955934
resnet_manual_none,1,32,2619.7699329350144,3263.3498007734306,4289.614032022655
resnet_manual_none,4,32,747.7280669845641,848.0672383808997,1266.8902650475502
resnet_manual_none,8,32,446.6148300562054,480.60770367388614,764.0052010538056
resnet_manual_none,12,32,376.2106579961255,452.30401185224764,603.838367969729
resnet_manual_none,16,32,340.5606880551204,366.04254605597816,554.4453989714384
resnet_manual_none,20,32,299.05871697701514,425.87826208677143,559.108573012054
resnet_manual_none,24,32,390.9036939730868,449.8807157727424,560.3635680163279
resnet_manual_none,28,32,230.2586779696867,357.2156375471968,544.443944003433
resnet_manual_none,32,32,218.51156698539853,256.3806453626603,568.2698630262166
resnet_manual_none,36,32,188.70035593863577,216.88497316208668,519.0108910901472
resnet_manual_channels_last,1,1,121.77814799360931,123.8724708405789,136.69032405596226
resnet_manual_channels_last,4,1,50.10065494570881,53.30652882461436,74.11241007503122
resnet_manual_channels_last,8,1,32.94049797113985,36.953567498130724,50.3246410517022
resnet_manual_channels_last,12,1,31.93674806971103,34.68873086734675,45.91330396942794
resnet_manual_channels_last,16,1,29.442879953421652,33.47001386922784,45.16698501538485
resnet_manual_channels_last,20,1,32.597233075648546,35.32505765208043,59.3511980259791
resnet_manual_channels_last,24,1,30.27495404239744,34.74335737992078,64.16600605007261
resnet_manual_channels_last,28,1,30.116213019937277,35.727690521162,104.12623605225235
resnet_manual_channels_last,32,1,32.25129307247698,35.727233410580084,89.1733969328925
resnet_manual_channels_last,36,1,32.9737359425053,36.00530651281588,97.73177490569651
resnet_manual_channels_last,1,8,649.7477280208841,658.5191186121665,888.7625079369172
resnet_manual_channels_last,4,8,250.6306009599939,269.5825211133342,328.14719097223133
resnet_manual_channels_last,8,8,148.8850690657273,158.05047400994226,203.24114803224802
resnet_manual_channels_last,12,8,121.2829640135169,124.51689139008522,167.6519369939342
resnet_manual_channels_last,16,8,110.01919896807522,118.93231945927255,160.39708291646093
resnet_manual_channels_last,20,8,103.0825061025098,121.23765622149222,164.62727694306523
resnet_manual_channels_last,24,8,89.37763201538473,99.80422921129502,175.98018504213542
resnet_manual_channels_last,28,8,83.09233002364635,97.89115415303968,156.09202510677278
resnet_manual_channels_last,32,8,77.43929291609675,87.15538146207109,168.0047980044037
resnet_manual_channels_last,36,8,78.28306197188795,96.0826973139774,172.61356802191585
resnet_manual_channels_last,1,16,1818.383592995815,1963.7780371855479,2631.151293986477
resnet_manual_channels_last,4,16,495.59786601457745,671.6809956135694,804.4247259385884
resnet_manual_channels_last,8,16,294.3503080168739,438.060487305047,484.9184079794213
resnet_manual_channels_last,12,16,234.17503491509706,324.6887040184811,400.972668081522
resnet_manual_channels_last,16,16,210.2876640856266,296.1520508141257,366.4232880109921
resnet_manual_channels_last,20,16,184.50784403830767,269.79828094132245,381.9693699479103
resnet_manual_channels_last,24,16,158.5453279549256,204.01618549483828,347.0624330220744
resnet_manual_channels_last,28,16,151.2265340425074,266.9695255532861,375.55829097982496
resnet_manual_channels_last,32,16,139.7501960163936,194.9388630851172,300.5285719409585
resnet_manual_channels_last,36,16,131.365327979438,259.490668552462,383.3556571044028
resnet_manual_channels_last,1,32,3630.715769948438,4488.718261558097,5658.50443392992
resnet_manual_channels_last,4,32,991.2849969696254,1212.4074769648723,1814.8996159434319
resnet_manual_channels_last,8,32,601.6226400388405,748.8164512172807,962.8706600051373
resnet_manual_channels_last,12,32,579.6732580056414,626.9729637179989,761.7018460296094
resnet_manual_channels_last,16,32,420.0170070398599,560.703957589576,727.0133038982749
resnet_manual_channels_last,20,32,373.15711996052414,457.9346753878053,649.6306780027226
resnet_manual_channels_last,24,32,320.73470402974635,526.2916055694222,715.6441939296201
resnet_manual_channels_last,28,32,289.4361560465768,358.0652550794184,626.0096799815074
resnet_manual_channels_last,32,32,493.49070398602635,516.0764984332491,609.7225239500403
resnet_manual_channels_last,36,32,295.9578779991716,459.0754667262081,640.6232489971444
resnet_manual_ipex,1,1,229.04476593248546,231.89750462886877,238.6404419085011
resnet_manual_ipex,4,1,123.3977050287649,125.6108048465103,137.30673806276172
resnet_manual_ipex,8,1,46.59200494643301,47.808388056000695,56.79769208654761
resnet_manual_ipex,12,1,42.50653798226267,43.72349274344742,49.10866904538125
resnet_manual_ipex,16,1,74.34253802057356,76.1965060676448,83.87426403351128
resnet_manual_ipex,20,1,54.27728500217199,55.83706281846389,74.53774299938232
resnet_manual_ipex,24,1,39.9793719407171,41.07099106302485,64.55249700229615
resnet_manual_ipex,28,1,42.148420005105436,43.44409527257085,61.99937791097909
resnet_manual_ipex,32,1,39.2870269715786,40.82210528780706,66.39656599145383
resnet_manual_ipex,36,1,50.22565298713744,55.587397874332964,116.4260390214622
resnet_manual_ipex,1,8,624.8948890715837,687.415484917583,723.7675759242848
resnet_manual_ipex,4,8,173.70480101089925,201.19855831959285,233.8917979504913
resnet_manual_ipex,8,8,116.31593701895326,128.33365628612228,152.2085570031777
resnet_manual_ipex,12,8,92.25907397922128,102.49008919578046,117.16748599428684
resnet_manual_ipex,16,8,79.82919493224472,93.85788531391881,122.53834295552224
resnet_manual_ipex,20,8,81.31529705133289,90.177496697288,109.18653500266373
resnet_manual_ipex,24,8,74.12874593865126,83.96560539957136,116.22069193981588
resnet_manual_ipex,28,8,73.14513507299125,87.73969948291779,155.1494700834155
resnet_manual_ipex,32,8,62.547146109864116,85.34552168799564,149.03386100195348
resnet_manual_ipex,36,8,80.2734310273081,88.08912332984619,159.36514106579125
resnet_manual_ipex,1,16,1037.65844902955,1205.4668485198636,1340.4489170061424
resnet_manual_ipex,4,16,295.7111259456724,350.433952138992,421.92125401925296
resnet_manual_ipex,8,16,196.7181049985811,222.13175335898995,260.90706803370267
resnet_manual_ipex,12,16,144.16602300480008,176.6839429596439,210.08218405768275
resnet_manual_ipex,16,16,165.315052960068,183.678822000511,242.93335003312677
resnet_manual_ipex,20,16,123.50715708453208,155.85625595413148,192.70256499294192
resnet_manual_ipex,24,16,111.24520609155297,132.37437336123548,182.7190190088004
resnet_manual_ipex,28,16,137.89622799959034,154.93427464389242,186.480961041525
resnet_manual_ipex,32,16,90.81533900462091,149.72364516928792,204.8530369065702
resnet_manual_ipex,36,16,89.8113310104236,123.27347259386443,188.9422369422391
resnet_manual_ipex,1,32,2041.3025009911507,2428.239219597308,2677.8832299169153
resnet_manual_ipex,4,32,773.6604419769719,785.1975295913871,809.4178090104833
resnet_manual_ipex,8,32,475.1147460192442,483.2558146980591,507.6348769944161
resnet_manual_ipex,12,32,330.5869350442663,370.00999282463454,404.716026969254
resnet_manual_ipex,16,32,348.43382705003023,357.2222093096934,412.5961239915341
resnet_manual_ipex,20,32,329.7496630111709,339.990540840663,357.2273429017514
resnet_manual_ipex,24,32,172.8109500836581,280.04563459195197,339.1193629940972
resnet_manual_ipex,28,32,304.0632320335135,314.06950650387444,341.869740979746
resnet_manual_ipex,32,32,296.58212698996067,320.4176078445744,469.9792009778321
