benchmark,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_none,7,7,1,35.53038513793569
resnet_manual_none,7,8,1,38.397472482353116
resnet_manual_none,7,9,1,37.38741395410599
resnet_manual_none,7,10,1,39.58545135352086
resnet_manual_none,7,11,1,41.476420179307105
resnet_manual_none,7,12,1,29.038121433121887
resnet_manual_none,7,13,1,41.22480783873658
resnet_manual_none,7,14,1,42.81060533286629
resnet_manual_none,7,15,1,43.02020468021767
resnet_manual_none,7,16,1,44.47362982383047
resnet_manual_none,7,17,1,39.39303574191953
resnet_manual_none,7,18,1,27.566865164739664
resnet_manual_none,7,19,1,9.224222502187484
resnet_manual_none,8,1,1,7.791632426914767
resnet_manual_none,8,2,1,14.262227363544659
resnet_manual_none,8,3,1,19.86220044155038
resnet_manual_none,8,4,1,24.950817323788947
resnet_manual_none,8,5,1,26.893285370007355
resnet_manual_none,8,6,1,32.79733005182839
resnet_manual_none,8,7,1,35.147203729552245
resnet_manual_none,8,8,1,38.23047415932088
resnet_manual_none,8,9,1,37.65820871311168
resnet_manual_none,8,10,1,39.37250679007311
resnet_manual_none,8,11,1,41.698558650811506
resnet_manual_none,8,12,1,42.34697121247472
resnet_manual_none,8,13,1,41.298933341893424
resnet_manual_none,8,14,1,42.26798105240292
resnet_manual_none,8,15,1,42.59582818002948
resnet_manual_none,8,16,1,45.04426730812664
resnet_manual_none,8,17,1,39.25219264097798
resnet_manual_none,8,18,1,25.102256009298625
resnet_manual_none,8,19,1,9.32758558824088
resnet_manual_none,9,1,1,7.235623839939259
resnet_manual_none,9,2,1,14.430312921225449
resnet_manual_none,9,3,1,18.689508198973858
resnet_manual_none,9,4,1,25.0204787041306
resnet_manual_none,9,5,1,28.900635824380924
resnet_manual_none,9,6,1,32.176405302417756
resnet_manual_none,9,7,1,35.206789397230715
resnet_manual_none,9,8,1,38.20271252359109
resnet_manual_none,9,9,1,37.87415052618029
resnet_manual_none,9,10,1,38.47276195672088
resnet_manual_none,9,11,1,41.56760702395621
resnet_manual_none,9,12,1,42.80655766733114
resnet_manual_none,9,13,1,41.388514607816894
resnet_manual_none,9,14,1,42.58468604196346
resnet_manual_none,9,15,1,42.67466035745509
resnet_manual_none,9,16,1,44.60326541654966
resnet_manual_none,9,17,1,39.74932802286806
resnet_manual_none,9,18,1,27.447929270915402
resnet_manual_none,9,19,1,9.300121852135554
resnet_manual_none,10,1,1,7.751794759345311
resnet_manual_none,10,2,1,14.347460831910185
resnet_manual_none,10,3,1,19.86720571070144
resnet_manual_none,10,4,1,24.349718264346357
resnet_manual_none,10,5,1,28.636201775675534
resnet_manual_none,10,6,1,32.54189695003951
resnet_manual_none,10,7,1,34.981602492723624
resnet_manual_none,10,8,1,38.38745528092747
resnet_manual_none,10,9,1,37.622801666633706
resnet_manual_none,10,10,1,39.54367021278449
resnet_manual_none,10,11,1,41.27323391355536
resnet_manual_none,10,12,1,42.64438851616175
resnet_manual_none,10,13,1,41.371239126792915
resnet_manual_none,10,14,1,42.54170458571634
resnet_manual_none,10,15,1,42.883984828728
resnet_manual_none,10,16,1,45.10600137750429
resnet_manual_none,10,17,1,39.313502415497055
resnet_manual_none,10,18,1,25.513922809690563
resnet_manual_none,10,19,1,9.309958446389556
resnet_manual_none,11,1,1,6.748617693123725
resnet_manual_none,11,2,1,14.418733471826211
resnet_manual_none,11,3,1,19.905967225739637
resnet_manual_none,11,4,1,25.05165028329448
resnet_manual_none,11,5,1,28.884697956386223
resnet_manual_none,11,6,1,32.40023564892697
resnet_manual_none,11,7,1,35.458462130328904
resnet_manual_none,11,8,1,38.419000950066284
resnet_manual_none,11,9,1,37.96470250085484
resnet_manual_none,11,10,1,39.764900710119875
resnet_manual_none,11,11,1,41.23547232357434
resnet_manual_none,11,12,1,42.536547061775174
resnet_manual_none,11,13,1,41.20947486257324
resnet_manual_none,11,14,1,42.40581826861512
resnet_manual_none,11,15,1,43.2299691153962
resnet_manual_none,11,16,1,45.064965307168464
resnet_manual_none,11,17,1,39.32275676322867
resnet_manual_none,11,18,1,26.68328574744363
resnet_manual_none,11,19,1,9.308206552133669
resnet_manual_none,12,1,1,7.329627105407683
resnet_manual_none,12,2,1,14.409760837567259
resnet_manual_none,12,3,1,19.954926325942083
resnet_manual_none,12,4,1,25.153847039947674
resnet_manual_none,12,5,1,28.82146191747403
resnet_manual_none,12,6,1,32.70631359240299
resnet_manual_none,12,7,1,35.18080490787089
resnet_manual_none,12,8,1,37.391994591852345
resnet_manual_none,12,9,1,37.9195148489016
resnet_manual_none,12,10,1,39.519415533150756
resnet_manual_none,12,11,1,41.50219157039992
resnet_manual_none,12,12,1,42.27939336710889
resnet_manual_none,12,13,1,41.597320074407854
resnet_manual_none,12,14,1,42.44199322843247
resnet_manual_none,12,15,1,43.07278121426364
resnet_manual_none,12,16,1,44.98602008717658
resnet_manual_none,12,17,1,39.38200862645637
resnet_manual_none,12,18,1,27.749434781737634
resnet_manual_none,12,19,1,9.281651571415525
resnet_manual_none,13,1,1,8.2864487165525
resnet_manual_none,13,2,1,14.452012302181018
resnet_manual_none,13,3,1,19.893498609184157
resnet_manual_none,13,4,1,25.181978392591528
resnet_manual_none,13,5,1,28.860969354174856
resnet_manual_none,13,6,1,32.37247389100624
resnet_manual_none,13,7,1,35.2214204358025
resnet_manual_none,13,8,1,38.1223752756679
resnet_manual_none,13,9,1,37.612343180856726
resnet_manual_none,13,10,1,39.46765079213307
resnet_manual_none,13,11,1,39.6141481752218
resnet_manual_none,13,12,1,42.346103216123424
resnet_manual_none,13,13,1,41.53389247259548
resnet_manual_none,13,14,1,42.38682066992838
resnet_manual_none,13,15,1,43.104620276415226
resnet_manual_none,13,16,1,44.82632639272769
resnet_manual_none,13,17,1,39.439650598964306
resnet_manual_none,13,18,1,25.59123537327845
resnet_manual_none,13,19,1,9.320821618574922
resnet_manual_none,14,1,1,7.950869310804836
resnet_manual_none,14,2,1,14.537004038476066
resnet_manual_none,14,3,1,19.994897237300204
resnet_manual_none,14,4,1,25.05541223367552
resnet_manual_none,14,5,1,28.932829942315344
resnet_manual_none,14,6,1,32.31197370371823
resnet_manual_none,14,7,1,35.51842811969853
resnet_manual_none,14,8,1,38.09159367395403
resnet_manual_none,14,9,1,37.7700065749763
resnet_manual_none,14,10,1,39.670482782375245
resnet_manual_none,14,11,1,41.58876311595875
resnet_manual_none,14,12,1,42.212148796891626
resnet_manual_none,14,13,1,41.32469122770069
resnet_manual_none,14,14,1,42.3771982656338
resnet_manual_none,14,15,1,43.18706038472416
resnet_manual_none,14,16,1,44.40150397261952
resnet_manual_none,14,17,1,39.31562355729042
resnet_manual_none,14,18,1,24.04159472195451
resnet_manual_none,14,19,1,9.29691548956917
resnet_manual_none,15,1,1,6.6608462570245095
resnet_manual_none,15,2,1,14.479469093646387
resnet_manual_none,15,3,1,19.887366574562396
resnet_manual_none,15,4,1,25.011003208782235
resnet_manual_none,15,5,1,28.818937972379274
resnet_manual_none,15,6,1,32.42946287626034
resnet_manual_none,15,7,1,35.46284689199626
resnet_manual_none,15,8,1,38.07031719023286
resnet_manual_none,15,9,1,37.48481140314192
resnet_manual_none,15,10,1,39.14482840697763
