model,cores,batch_size,instances,allocator,throughput,mean_ts_latency,mean_predict_latency
squeezenet,11,64,1,default,305.90,209.216,194.18
squeezenet,12,64,1,default,309.51,206.780,191.93
squeezenet,13,64,1,default,321.69,198.947,183.96
squeezenet,14,64,1,default,332.87,192.267,177.26
squeezenet,15,64,1,default,335.16,190.952,176.04
squeezenet,16,64,1,default,331.41,193.117,178.22
squeezenet,1,128,1,default,58.96,2170.845,2126.93
squeezenet,2,128,1,default,111.95,1143.347,1109.47
squeezenet,3,128,1,default,145.48,879.873,848.67
squeezenet,4,128,1,default,180.54,708.990,679.29
squeezenet,5,128,1,default,207.58,616.644,588.17
squeezenet,6,128,1,default,229.72,557.191,529.27
squeezenet,7,128,1,default,248.87,514.333,487.14
squeezenet,8,128,1,default,271.58,471.321,444.28
squeezenet,9,128,1,default,301.85,424.049,397.33
squeezenet,10,128,1,default,287.32,445.496,418.29
squeezenet,11,128,1,default,307.42,416.372,389.63
squeezenet,12,128,1,default,326.68,391.815,365.14
squeezenet,13,128,1,default,330.96,386.751,360.58
squeezenet,14,128,1,default,315.96,405.111,378.59
squeezenet,15,128,1,default,342.99,373.191,347.15
squeezenet,16,128,1,default,350.05,365.660,339.38
squeezenet,1,1,1,tcmalloc,90.34,11.070,9.07
squeezenet,2,1,1,tcmalloc,121.28,8.245,6.14
squeezenet,3,1,1,tcmalloc,142.12,7.036,4.89
squeezenet,4,1,1,tcmalloc,157.67,6.342,4.52
squeezenet,5,1,1,tcmalloc,163.07,6.132,4.23
squeezenet,6,1,1,tcmalloc,164.37,6.084,4.16
squeezenet,7,1,1,tcmalloc,172.37,5.801,4.06
squeezenet,8,1,1,tcmalloc,173.50,5.764,3.79
squeezenet,9,1,1,tcmalloc,176.59,5.663,3.88
squeezenet,10,1,1,tcmalloc,169.57,5.897,3.88
squeezenet,11,1,1,tcmalloc,172.28,5.804,3.93
squeezenet,12,1,1,tcmalloc,171.50,5.831,3.82
squeezenet,13,1,1,tcmalloc,181.37,5.514,3.81
squeezenet,14,1,1,tcmalloc,177.15,5.645,3.82
squeezenet,15,1,1,tcmalloc,172.40,5.800,3.82
squeezenet,16,1,1,tcmalloc,164.56,6.077,3.93
squeezenet,1,2,1,tcmalloc,97.49,20.515,15.95
squeezenet,2,2,1,tcmalloc,136.83,14.617,10.08
squeezenet,3,2,1,tcmalloc,161.70,12.369,7.96
squeezenet,4,2,1,tcmalloc,173.36,11.536,7.11
squeezenet,5,2,1,tcmalloc,178.64,11.196,6.81
squeezenet,6,2,1,tcmalloc,193.49,10.336,6.03
squeezenet,7,2,1,tcmalloc,154.14,12.976,8.5
squeezenet,8,2,1,tcmalloc,157.38,12.708,8.4
squeezenet,9,2,1,tcmalloc,202.38,9.882,5.51
squeezenet,10,2,1,tcmalloc,159.22,12.561,8.14
squeezenet,11,2,1,tcmalloc,205.62,9.727,5.43
squeezenet,12,2,1,tcmalloc,198.73,10.064,5.49
squeezenet,13,2,1,tcmalloc,204.84,9.764,5.53
squeezenet,14,2,1,tcmalloc,206.58,9.681,5.48
squeezenet,15,2,1,tcmalloc,203.57,9.825,5.36
squeezenet,16,2,1,tcmalloc,142.59,14.026,9.37
squeezenet,1,4,1,tcmalloc,108.42,36.895,31.79
squeezenet,2,4,1,tcmalloc,165.52,24.167,19.04
squeezenet,3,4,1,tcmalloc,159.26,25.116,20.02
squeezenet,4,4,1,tcmalloc,234.56,17.053,11.86
squeezenet,5,4,1,tcmalloc,203.83,19.624,14.74
squeezenet,6,4,1,tcmalloc,269.85,14.823,10.04
squeezenet,7,4,1,tcmalloc,232.48,17.206,12.35
squeezenet,8,4,1,tcmalloc,244.71,16.346,11.47
squeezenet,9,4,1,tcmalloc,282.26,14.171,9.04
squeezenet,10,4,1,tcmalloc,249.72,16.018,11.04
squeezenet,11,4,1,tcmalloc,297.21,13.459,8.54
squeezenet,12,4,1,tcmalloc,302.12,13.240,8.35
squeezenet,13,4,1,tcmalloc,271.00,14.760,10.05
squeezenet,14,4,1,tcmalloc,268.47,14.899,10.02
squeezenet,15,4,1,tcmalloc,271.01,14.760,9.88
squeezenet,16,4,1,tcmalloc,208.50,19.185,14.2
squeezenet,1,8,1,tcmalloc,116.90,68.432,62.29
squeezenet,2,8,1,tcmalloc,191.92,41.684,35.84
squeezenet,3,8,1,tcmalloc,207.76,38.505,32.84
squeezenet,4,8,1,tcmalloc,286.93,27.881,21.83
squeezenet,5,8,1,tcmalloc,314.90,25.405,19.39
squeezenet,6,8,1,tcmalloc,299.32,26.728,21.15
squeezenet,7,8,1,tcmalloc,366.93,21.803,16.12
squeezenet,8,8,1,tcmalloc,340.81,23.474,17.9
squeezenet,9,8,1,tcmalloc,385.45,20.755,15.07
squeezenet,10,8,1,tcmalloc,405.83,19.713,14.11
squeezenet,11,8,1,tcmalloc,409.24,19.549,13.92
squeezenet,12,8,1,tcmalloc,370.33,21.602,15.98
squeezenet,13,8,1,tcmalloc,381.40,20.976,15.37
squeezenet,14,8,1,tcmalloc,387.34,20.654,14.98
squeezenet,15,8,1,tcmalloc,399.29,20.035,14.42
squeezenet,16,8,1,tcmalloc,333.90,23.959,18.42
squeezenet,1,16,1,tcmalloc,116.24,137.651,129.27
squeezenet,2,16,1,tcmalloc,198.12,80.761,73.12
squeezenet,3,16,1,tcmalloc,242.25,66.047,58.76
squeezenet,4,16,1,tcmalloc,321.00,49.844,42.74
squeezenet,5,16,1,tcmalloc,358.05,44.686,37.42
squeezenet,6,16,1,tcmalloc,360.94,44.329,37.03
squeezenet,7,16,1,tcmalloc,424.46,37.695,30.76
squeezenet,8,16,1,tcmalloc,408.01,39.215,31.85
squeezenet,9,16,1,tcmalloc,447.98,35.716,28.4
squeezenet,10,16,1,tcmalloc,441.02,36.280,29.2
squeezenet,11,16,1,tcmalloc,484.70,33.010,26.13
squeezenet,12,16,1,tcmalloc,445.29,35.932,27.88
squeezenet,13,16,1,tcmalloc,479.02,33.402,26.28
squeezenet,14,16,1,tcmalloc,504.46,31.717,24.76
squeezenet,15,16,1,tcmalloc,511.73,31.266,24.3
squeezenet,16,16,1,tcmalloc,429.04,37.292,29.8
squeezenet,1,32,1,tcmalloc,115.69,276.594,265.32
squeezenet,2,32,1,tcmalloc,204.64,156.376,146.21
squeezenet,3,32,1,tcmalloc,265.45,120.548,110.68
squeezenet,4,32,1,tcmalloc,339.05,94.381,85.02
squeezenet,5,32,1,tcmalloc,388.07,82.459,73.13
squeezenet,6,32,1,tcmalloc,409.12,78.216,68.67
squeezenet,7,32,1,tcmalloc,462.13,69.245,59.86
squeezenet,8,32,1,tcmalloc,465.30,68.773,59.43
squeezenet,9,32,1,tcmalloc,496.68,64.428,55.11
squeezenet,10,32,1,tcmalloc,496.65,64.432,55.1
squeezenet,11,32,1,tcmalloc,537.97,59.483,50.38
squeezenet,12,32,1,tcmalloc,527.30,60.686,51.48
squeezenet,13,32,1,tcmalloc,545.69,58.642,49.34
squeezenet,14,32,1,tcmalloc,557.54,57.395,48.3
squeezenet,15,32,1,tcmalloc,563.50,56.787,47.48
squeezenet,16,32,1,tcmalloc,510.61,62.671,52.61
squeezenet,1,64,1,tcmalloc,115.22,555.457,536.46
squeezenet,2,64,1,tcmalloc,207.86,307.901,291.89
squeezenet,3,64,1,tcmalloc,275.80,232.052,216.43
squeezenet,4,64,1,tcmalloc,352.65,181.481,165.98
squeezenet,5,64,1,tcmalloc,405.61,157.788,143.19
squeezenet,6,64,1,tcmalloc,432.40,148.012,133.38
squeezenet,7,64,1,tcmalloc,477.01,134.169,119.56
squeezenet,8,64,1,tcmalloc,493.57,129.668,115.06
squeezenet,9,64,1,tcmalloc,520.33,122.999,108.65
squeezenet,10,64,1,tcmalloc,529.40,120.891,106.75
squeezenet,11,64,1,tcmalloc,558.18,114.658,100.14
squeezenet,12,64,1,tcmalloc,562.49,113.780,99.58
squeezenet,13,64,1,tcmalloc,573.61,111.574,97.46
squeezenet,14,64,1,tcmalloc,587.15,109.002,94.85
squeezenet,15,64,1,tcmalloc,593.58,107.821,93.45
squeezenet,16,64,1,tcmalloc,568.60,112.557,98.08
squeezenet,1,128,1,tcmalloc,113.70,1125.727,1091.96
squeezenet,2,128,1,tcmalloc,207.34,617.337,588.74
squeezenet,3,128,1,tcmalloc,285.17,448.856,419.85
squeezenet,4,128,1,tcmalloc,359.55,355.996,329.69
squeezenet,5,128,1,tcmalloc,405.70,315.500,289.56
squeezenet,6,128,1,tcmalloc,448.82,285.193,259.28
squeezenet,7,128,1,tcmalloc,487.24,262.705,237.19
squeezenet,8,128,1,tcmalloc,512.52,249.746,224.84
squeezenet,9,128,1,tcmalloc,531.55,240.805,216.28
squeezenet,10,128,1,tcmalloc,545.42,234.683,209.82
squeezenet,11,128,1,tcmalloc,574.90,222.646,197.66
squeezenet,12,128,1,tcmalloc,580.99,220.313,195.18
squeezenet,13,128,1,tcmalloc,584.81,218.874,193.45
squeezenet,14,128,1,tcmalloc,605.75,211.309,186.86
squeezenet,15,128,1,tcmalloc,610.90,209.529,184.88
squeezenet,16,128,1,tcmalloc,601.96,212.640,187.84
