benchmark,topology,pinning,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
gpt2_manual_script,sequential,numactl,13,1,1,64,2018.4781290590763,2075.846217274666,2362.227611243725,0.0
gpt2_manual_script,sequential,numactl,7,1,1,64,2014.6037004888058,2080.0386978685856,2349.372558295727,0.0
gpt2_manual_script,sequential,numactl,2,1,1,64,2019.1564783453941,2076.937166824937,2460.290502756834,0.0
gpt2_manual_script,sequential,numactl,10,1,1,64,1962.4917916953564,2088.8630272448063,2349.87635537982,0.0
gpt2_manual_script,sequential,numactl,3,1,1,64,2019.224252551794,2087.3191483691335,2360.992092639208,0.0
gpt2_manual_script,sequential,numactl,1,1,1,64,1863.3155226707458,2091.784616596997,2394.0911144018173,0.0
gpt2_manual_script,sequential,numactl,12,1,1,64,1876.5858225524426,2093.877957649529,2408.839087933302,0.0
gpt2_manual_script,sequential,numactl,5,1,1,64,1864.574659615755,2095.45457419008,2447.3939687013626,0.0
gpt2_manual_script,sequential,numactl,14,1,1,64,1789.2458960413933,2084.000747129321,2434.0019561350346,0.0
gpt2_manual_script,sequential,numactl,11,1,1,64,1828.3010087907314,2102.739162668586,2419.780496507883,0.0
gpt2_manual_script,sequential,numactl,6,1,1,64,1768.6674483120441,2104.716861769557,2484.2140823602676,0.0
