benchmark,topology,pinning,ht,allocator,instance_id,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_script,sequential,numactl,true,default,1,1,11,4,69.72754212719413
resnet_manual_script,sequential,numactl,true,default,1,1,12,4,76.03915716694445
resnet_manual_script,sequential,numactl,true,default,1,1,13,4,81.16668359506151
resnet_manual_script,sequential,numactl,true,default,1,1,14,4,86.53728896440914
resnet_manual_script,sequential,numactl,true,default,1,1,15,4,90.72127903684363
resnet_manual_script,sequential,numactl,true,default,1,1,16,4,97.08483711523814
resnet_manual_script,sequential,numactl,true,default,1,1,17,4,91.89756988878885
resnet_manual_script,sequential,numactl,true,default,1,1,18,4,99.67546021503217
resnet_manual_script,sequential,numactl,true,default,1,1,19,4,103.51345133981583
resnet_manual_script,sequential,numactl,true,default,1,1,20,4,105.53853030561557
resnet_manual_script,sequential,numactl,true,default,1,1,21,4,112.16375200269164
resnet_manual_script,sequential,numactl,true,default,1,1,22,4,112.75267743595917
resnet_manual_script,sequential,numactl,true,default,1,1,23,4,119.25431221862772
resnet_manual_script,sequential,numactl,true,default,1,1,24,4,124.65147105911876
resnet_manual_script,sequential,numactl,true,default,1,1,25,4,118.56792192455133
resnet_manual_script,sequential,numactl,true,default,1,1,26,4,121.12218875794676
resnet_manual_script,sequential,numactl,true,default,1,1,27,4,122.44167944381881
resnet_manual_script,sequential,numactl,true,default,1,1,28,4,128.67459747432932
resnet_manual_script,sequential,numactl,true,default,1,1,29,4,131.8022149442053
resnet_manual_script,sequential,numactl,true,default,1,1,30,4,130.7300331058771
resnet_manual_script,sequential,numactl,true,default,1,1,31,4,130.02031625303843
resnet_manual_script,sequential,numactl,true,default,1,1,32,4,131.4641089717036
resnet_manual_script,sequential,numactl,true,default,1,1,1,8,14.392730937739437
resnet_manual_script,sequential,numactl,true,default,1,1,2,8,14.346136772777943
resnet_manual_script,sequential,numactl,true,default,1,1,3,8,20.768639058362478
resnet_manual_script,sequential,numactl,true,default,1,1,4,8,27.2188876288136
resnet_manual_script,sequential,numactl,true,default,1,1,5,8,33.7028718405123
resnet_manual_script,sequential,numactl,true,default,1,1,6,8,40.10379444107939
resnet_manual_script,sequential,numactl,true,default,1,1,7,8,46.02989470590445
resnet_manual_script,sequential,numactl,true,default,1,1,8,8,55.3012439677038
resnet_manual_script,sequential,numactl,true,default,1,1,9,8,59.83111236923577
resnet_manual_script,sequential,numactl,true,default,1,1,10,8,65.84237151050377
resnet_manual_script,sequential,numactl,true,default,1,1,11,8,72.14562919474311
resnet_manual_script,sequential,numactl,true,default,1,1,12,8,73.82714849152588
resnet_manual_script,sequential,numactl,true,default,1,1,13,8,82.73199016638311
resnet_manual_script,sequential,numactl,true,default,1,1,14,8,88.66409475067509
resnet_manual_script,sequential,numactl,true,default,1,1,15,8,93.82600213304428
resnet_manual_script,sequential,numactl,true,default,1,1,16,8,100.34647586027225
resnet_manual_script,sequential,numactl,true,default,1,1,17,8,98.40341487672168
resnet_manual_script,sequential,numactl,true,default,1,1,18,8,103.3490820101202
resnet_manual_script,sequential,numactl,true,default,1,1,19,8,108.72268564130167
resnet_manual_script,sequential,numactl,true,default,1,1,20,8,113.209740015891
resnet_manual_script,sequential,numactl,true,default,1,1,21,8,118.2869083184297
resnet_manual_script,sequential,numactl,true,default,1,1,22,8,122.67045667021127
resnet_manual_script,sequential,numactl,true,default,1,1,23,8,127.11555546947748
resnet_manual_script,sequential,numactl,true,default,1,1,24,8,123.13125165397936
resnet_manual_script,sequential,numactl,true,default,1,1,25,8,127.14296075174336
resnet_manual_script,sequential,numactl,true,default,1,1,26,8,120.07381974538569
resnet_manual_script,sequential,numactl,true,default,1,1,27,8,133.01271856756824
resnet_manual_script,sequential,numactl,true,default,1,1,28,8,128.61728509843687
resnet_manual_script,sequential,numactl,true,default,1,1,29,8,141.06665285439124
resnet_manual_script,sequential,numactl,true,default,1,1,30,8,144.1833841067759
resnet_manual_script,sequential,numactl,true,default,1,1,31,8,145.8967904852214
resnet_manual_script,sequential,numactl,true,default,1,1,32,8,152.34523203777582
resnet_manual_script,sequential,numactl,true,default,1,1,1,16,12.864900106834707
resnet_manual_script,sequential,numactl,true,default,1,1,2,16,13.211875370133436
resnet_manual_script,sequential,numactl,true,default,1,1,3,16,19.09317085661268
resnet_manual_script,sequential,numactl,true,default,1,1,4,16,25.40834029209694
resnet_manual_script,sequential,numactl,true,default,1,1,5,16,30.395204249816253
resnet_manual_script,sequential,numactl,true,default,1,1,6,16,36.44723601511061
resnet_manual_script,sequential,numactl,true,default,1,1,7,16,41.3010067002351
resnet_manual_script,sequential,numactl,true,default,1,1,8,16,49.44853096355152
resnet_manual_script,sequential,numactl,true,default,1,1,9,16,53.371881259977435
resnet_manual_script,sequential,numactl,true,default,1,1,10,16,58.66108458420295
resnet_manual_script,sequential,numactl,true,default,1,1,11,16,61.338250676169075
resnet_manual_script,sequential,numactl,true,default,1,1,12,16,69.9489189809095
resnet_manual_script,sequential,numactl,true,default,1,1,13,16,73.24562817584469
resnet_manual_script,sequential,numactl,true,default,1,1,14,16,77.5651749367773
resnet_manual_script,sequential,numactl,true,default,1,1,15,16,82.51164645676234
resnet_manual_script,sequential,numactl,true,default,1,1,16,16,87.97710924598081
resnet_manual_script,sequential,numactl,true,default,1,1,17,16,85.37441576165419
resnet_manual_script,sequential,numactl,true,default,1,1,18,16,87.1081106439457
resnet_manual_script,sequential,numactl,true,default,1,1,19,16,92.54288186608707
resnet_manual_script,sequential,numactl,true,default,1,1,20,16,94.06443653345339
resnet_manual_script,sequential,numactl,true,default,1,1,21,16,103.65938338378758
resnet_manual_script,sequential,numactl,true,default,1,1,22,16,99.14989743037656
resnet_manual_script,sequential,numactl,true,default,1,1,23,16,109.03007803619717
resnet_manual_script,sequential,numactl,true,default,1,1,24,16,111.65595660450333
resnet_manual_script,sequential,numactl,true,default,1,1,25,16,111.96773141372894
resnet_manual_script,sequential,numactl,true,default,1,1,26,16,110.34564971458023
resnet_manual_script,sequential,numactl,true,default,1,1,27,16,108.43237536839905
resnet_manual_script,sequential,numactl,true,default,1,1,28,16,111.3398677920768
resnet_manual_script,sequential,numactl,true,default,1,1,29,16,114.17982183929492
resnet_manual_script,sequential,numactl,true,default,1,1,30,16,122.33229155626358
resnet_manual_script,sequential,numactl,true,default,1,1,31,16,123.2182931307555
resnet_manual_script,sequential,numactl,true,default,1,1,32,16,127.36993244031173
resnet_manual_script,sequential,numactl,true,default,1,1,1,32,11.871857344492149
resnet_manual_script,sequential,numactl,true,default,1,1,2,32,11.912832936162433
resnet_manual_script,sequential,numactl,true,default,1,1,3,32,17.944108031648554
resnet_manual_script,sequential,numactl,true,default,1,1,4,32,22.83023144476617
resnet_manual_script,sequential,numactl,true,default,1,1,5,32,28.328986210292715
