model,cores,batch_size,instances,allocator,throughput,mean_ts_latency,mean_predict_latency
mobilenet,10,64,1,default,127.04,503.780,485.84
mobilenet,11,64,1,default,145.99,438.379,421.17
mobilenet,12,64,1,default,141.39,452.653,435.37
mobilenet,13,64,1,default,139.52,458.702,441.21
mobilenet,14,64,1,default,146.46,436.994,419.23
mobilenet,15,64,1,default,141.78,451.410,433.61
mobilenet,16,64,1,default,142.47,449.208,431.12
mobilenet,1,128,1,default,23.25,5504.497,5427.38
mobilenet,2,128,1,default,43.15,2966.058,2914.25
mobilenet,3,128,1,default,58.73,2179.605,2135.09
mobilenet,4,128,1,default,73.81,1734.188,1694.42
mobilenet,5,128,1,default,85.07,1504.712,1466.93
mobilenet,6,128,1,default,94.00,1361.746,1325.99
mobilenet,7,128,1,default,105.06,1218.354,1183.0
mobilenet,8,128,1,default,116.13,1102.180,1068.12
mobilenet,9,128,1,default,117.98,1084.910,1051.2
mobilenet,10,128,1,default,122.98,1040.817,1007.8
mobilenet,11,128,1,default,129.43,988.937,956.63
mobilenet,12,128,1,default,133.64,957.762,924.99
mobilenet,13,128,1,default,135.70,943.280,911.17
mobilenet,14,128,1,default,138.59,923.568,891.56
mobilenet,15,128,1,default,138.36,925.125,893.69
mobilenet,16,128,1,default,140.69,909.778,878.04
mobilenet,1,1,1,tcmalloc,52.78,18.945,16.59
mobilenet,2,1,1,tcmalloc,74.08,13.498,11.06
mobilenet,3,1,1,tcmalloc,87.48,11.431,8.98
mobilenet,4,1,1,tcmalloc,97.03,10.306,8.15
mobilenet,5,1,1,tcmalloc,98.78,10.124,7.62
mobilenet,6,1,1,tcmalloc,103.59,9.654,7.38
mobilenet,7,1,1,tcmalloc,102.71,9.736,7.49
mobilenet,8,1,1,tcmalloc,105.71,9.460,7.24
mobilenet,9,1,1,tcmalloc,103.85,9.630,7.29
mobilenet,10,1,1,tcmalloc,111.72,8.951,6.9
mobilenet,11,1,1,tcmalloc,108.11,9.250,7.13
mobilenet,12,1,1,tcmalloc,108.74,9.196,7.1
mobilenet,13,1,1,tcmalloc,97.26,10.281,8.08
mobilenet,14,1,1,tcmalloc,104.81,9.541,7.24
mobilenet,15,1,1,tcmalloc,104.94,9.529,7.24
mobilenet,16,1,1,tcmalloc,99.68,10.032,7.46
mobilenet,1,2,1,tcmalloc,56.87,35.167,30.03
mobilenet,2,2,1,tcmalloc,83.84,23.856,18.95
mobilenet,3,2,1,tcmalloc,78.77,25.390,20.4
mobilenet,4,2,1,tcmalloc,112.85,17.722,12.73
mobilenet,5,2,1,tcmalloc,85.53,23.385,18.26
mobilenet,6,2,1,tcmalloc,61.65,32.441,27.32
mobilenet,7,2,1,tcmalloc,130.94,15.275,10.52
mobilenet,8,2,1,tcmalloc,98.02,20.403,15.62
mobilenet,9,2,1,tcmalloc,135.09,14.805,10.17
mobilenet,10,2,1,tcmalloc,90.27,22.156,17.47
mobilenet,11,2,1,tcmalloc,106.99,18.693,13.96
