benchmark,topology,pinning,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
inception_manual_script,sequential,numactl,1,1,1,1,61.917153012473136,62.878801369224675,90.2403840154875,0.0
inception_manual_script,sequential,numactl,1,1,2,1,35.20564499194734,35.85729921993334,50.62528600683436,0.0
inception_manual_script,sequential,numactl,1,1,3,1,26.79682700545527,27.294259438931476,36.99312699609436,0.0
inception_manual_script,sequential,numactl,1,1,4,1,21.815637010149658,22.37023701891303,30.216401995858178,0.0
inception_manual_script,sequential,numactl,1,1,5,1,21.21076700859703,21.607422980014235,31.87662299023941,0.0
inception_manual_script,sequential,numactl,1,1,6,1,18.641663977177814,18.907812380348332,28.283632011152804,0.0
inception_manual_script,sequential,numactl,1,1,7,1,17.693884001346305,17.95465671690181,24.824697989970446,0.0
inception_manual_script,sequential,numactl,1,1,8,1,16.449968999950215,16.83020773140015,26.64092101622373,0.0
inception_manual_script,sequential,numactl,1,1,9,1,18.049215024802834,18.296756708878092,27.373176999390125,0.0
inception_manual_script,sequential,numactl,1,1,10,1,17.2384720062837,17.546096790465526,26.282970007741824,0.0
inception_manual_script,sequential,numactl,1,1,11,1,16.77434699377045,17.027518669492565,24.644608987728134,0.0
inception_manual_script,sequential,numactl,1,1,12,1,15.739788010250777,15.871981398086064,16.053095983806998,0.0
inception_manual_script,sequential,numactl,1,1,13,1,17.05139401019551,17.293464479444083,28.652534005232155,0.0
inception_manual_script,sequential,numactl,1,1,14,1,16.895643988391384,17.198248432250693,29.025454976363108,0.0
inception_manual_script,sequential,numactl,1,1,15,1,16.82836699183099,17.0855420109001,25.16002199263312,0.0
inception_manual_script,sequential,numactl,1,1,16,1,17.01365102780983,17.306969522906,29.145519976736978,0.0
inception_manual_script,sequential,numactl,1,1,1,2,109.69106599804945,110.59795414010296,113.01411502063274,0.0
inception_manual_script,sequential,numactl,1,1,2,2,59.288541990099475,60.361008178733755,76.10541200847365,0.0
inception_manual_script,sequential,numactl,1,1,3,2,44.53382300562225,45.197006790258456,59.00856200605631,0.0
inception_manual_script,sequential,numactl,1,1,4,2,35.379200999159366,36.25237150961766,51.3629189808853,0.0
inception_manual_script,sequential,numactl,1,1,5,2,34.683411999139935,35.24745838105446,49.324563005939126,0.0
inception_manual_script,sequential,numactl,1,1,6,2,30.01097499509342,30.521987050306052,44.827450008597225,0.0
inception_manual_script,sequential,numactl,1,1,7,2,28.00436201505363,28.545955111039802,39.78002001531422,0.0
inception_manual_script,sequential,numactl,1,1,8,2,24.765046022366732,25.66136885958258,40.11550100403838,0.0
inception_manual_script,sequential,numactl,1,1,9,2,26.66618101648055,27.297238138853572,43.68066502502188,0.0
inception_manual_script,sequential,numactl,1,1,10,2,25.00050701200962,25.495586828910746,35.439321014564484,0.0
inception_manual_script,sequential,numactl,1,1,11,2,24.3650880001951,24.889303139643744,42.451326007721946,0.0
inception_manual_script,sequential,numactl,1,1,12,2,22.58294602506794,23.12313244154211,41.7560120113194,0.0
inception_manual_script,sequential,numactl,1,1,13,2,23.697105003520846,24.229471018188633,41.59459500806406,0.0
inception_manual_script,sequential,numactl,1,1,14,2,23.015095997834578,23.617114608641714,43.274757015751675,0.0
inception_manual_script,sequential,numactl,1,1,15,2,22.39397697849199,22.70700672030216,38.25522298575379,0.0
inception_manual_script,sequential,numactl,1,1,16,2,21.662245999323204,21.959271697269287,36.69281100155786,0.0
inception_manual_script,sequential,numactl,1,1,1,4,206.5567999961786,208.28760469827102,216.91826000460424,0.0
inception_manual_script,sequential,numactl,1,1,2,4,108.36678597843274,110.13822049921146,128.23202498839237,0.0
inception_manual_script,sequential,numactl,1,1,3,4,79.12088601733558,80.11853644798975,96.87843298888765,0.0
inception_manual_script,sequential,numactl,1,1,4,4,61.25989501015283,62.66817486786749,78.22404097532853,0.0
inception_manual_script,sequential,numactl,1,1,5,4,58.249344991054386,59.1472584506846,75.24591297260486,0.0
inception_manual_script,sequential,numactl,1,1,6,4,49.75774898775853,50.5554238287732,66.03238798561506,0.0
inception_manual_script,sequential,numactl,1,1,7,4,44.80011301347986,45.38954611052759,58.382209012052044,0.0
inception_manual_script,sequential,numactl,1,1,8,4,40.00094401999377,40.7016627091798,53.31405100878328,0.0
inception_manual_script,sequential,numactl,1,1,9,4,41.96890498860739,42.64236837887438,61.83219200465828,0.0
inception_manual_script,sequential,numactl,1,1,10,4,38.90343298553489,39.267624671338126,57.34873400069773,0.0
inception_manual_script,sequential,numactl,1,1,11,4,37.50136899179779,37.95880542922532,50.84326898213476,0.0
inception_manual_script,sequential,numactl,1,1,12,4,34.799380984622985,35.183043968863785,45.82164698513225,0.0
inception_manual_script,sequential,numactl,1,1,13,4,35.819048003759235,36.31574842147529,56.40295997727662,0.0
inception_manual_script,sequential,numactl,1,1,14,4,34.5205640187487,34.923956210841425,56.395794003037736,0.0
inception_manual_script,sequential,numactl,1,1,15,4,33.37744501186535,33.94091098016361,56.31393799558282,0.0
inception_manual_script,sequential,numactl,1,1,16,4,31.97430001455359,32.542264711810276,49.616734992014244,0.0
inception_manual_script,sequential,numactl,1,1,1,8,428.69323599734344,431.67563851893647,436.92730701877736,0.0
inception_manual_script,sequential,numactl,1,1,2,8,210.25453897891566,213.1786712500616,236.52174099697731,0.0
inception_manual_script,sequential,numactl,1,1,3,8,160.3424870118033,162.28191560017876,180.2469359827228,0.0
inception_manual_script,sequential,numactl,1,1,4,8,114.96287398040295,117.12086586048827,134.45037699420936,0.0
inception_manual_script,sequential,numactl,1,1,5,8,106.6331909969449,107.37590808072127,119.29245598730631,0.0
inception_manual_script,sequential,numactl,1,1,6,8,90.9451560000889,92.65383001067676,111.7301520134788,0.0
inception_manual_script,sequential,numactl,1,1,7,8,80.48324499395676,81.72253799100872,97.27453099912964,0.0
inception_manual_script,sequential,numactl,1,1,8,8,76.27991598565131,77.81249460036634,94.20966700417921,0.0
inception_manual_script,sequential,numactl,1,1,9,8,72.23401701776311,73.2579805504065,92.5627280084882,0.0
inception_manual_script,sequential,numactl,1,1,10,8,66.85027098865248,67.51083462993847,79.76104598492384,0.0
inception_manual_script,sequential,numactl,1,1,11,8,62.58800197974779,63.37940087891184,81.48460800293833,0.0
inception_manual_script,sequential,numactl,1,1,12,8,57.80458799563348,58.464217241853476,73.43760199728422,0.0
inception_manual_script,sequential,numactl,1,1,13,8,58.73656499898061,59.57334360049572,84.31629400001839,0.0
inception_manual_script,sequential,numactl,1,1,14,8,60.242365987505764,60.820139630232006,83.55282701086253,0.0
inception_manual_script,sequential,numactl,1,1,15,8,57.9733960039448,58.89966562826885,80.89889999246225,0.0
inception_manual_script,sequential,numactl,1,1,16,8,50.408406008500606,51.09787613037042,68.65680898772553,0.0
inception_manual_script,sequential,numactl,1,1,1,16,850.3368750098161,853.6919185708393,858.2319089910015,0.0
inception_manual_script,sequential,numactl,1,1,2,16,436.2547229975462,446.07715249905596,473.41696501825936,0.0
inception_manual_script,sequential,numactl,1,1,3,16,307.90651598363183,310.1147783410852,327.06828400841914,0.0
inception_manual_script,sequential,numactl,1,1,4,16,235.74533601640724,239.69073080050293,259.55299599445425,0.0
inception_manual_script,sequential,numactl,1,1,5,16,213.66216099704616,215.38954438146902,231.25919100129977,0.0
inception_manual_script,sequential,numactl,1,1,6,16,181.7020290181972,183.95751764735905,201.00446499418467,0.0
inception_manual_script,sequential,numactl,1,1,7,16,159.4453989819158,164.18391936982516,177.9889260069467,0.0
inception_manual_script,sequential,numactl,1,1,8,16,140.50863799639046,144.80280099232914,164.81796398875304,0.0
inception_manual_script,sequential,numactl,1,1,9,16,140.24984699790366,141.65780968149193,160.46000400092453,0.0
inception_manual_script,sequential,numactl,1,1,10,16,128.8703200116288,130.23767944105202,148.62215900211595,0.0
inception_manual_script,sequential,numactl,1,1,11,16,119.64588100090623,121.11063517921139,140.75463198241778,0.0
inception_manual_script,sequential,numactl,1,1,12,16,111.74982899683528,113.37239650834817,133.61370100756176,0.0
inception_manual_script,sequential,numactl,1,1,13,16,110.82900300971232,112.34167415328557,134.4143190071918,0.0
inception_manual_script,sequential,numactl,1,1,14,16,105.1799819979351,106.7109473812161,128.7638010107912,0.0
inception_manual_script,sequential,numactl,1,1,15,16,99.54357199603692,102.2890068902052,128.56201597605832,0.0
inception_manual_script,sequential,numactl,1,1,16,16,94.39258498605341,95.9909804299241,119.28328598150983,0.0
inception_manual_script,sequential,numactl,1,1,1,32,1851.8219600082375,1889.8359820380574,1901.3791609904729,0.0
inception_manual_script,sequential,numactl,1,1,2,32,954.5729100063909,970.6250157018076,994.7761560033541,0.0
inception_manual_script,sequential,numactl,1,1,3,32,675.0084180093836,690.3756372991484,709.2085210024379,0.0
inception_manual_script,sequential,numactl,1,1,4,32,523.1846279930323,531.8383655013167,551.7138509894721,0.0
inception_manual_script,sequential,numactl,1,1,5,32,467.489492992172,477.5882474597893,495.2336309943348,0.0
inception_manual_script,sequential,numactl,1,1,6,32,397.88775899796747,406.4011910496629,421.6261300025508,0.0
inception_manual_script,sequential,numactl,1,1,7,32,350.95521999755874,358.7394750287058,373.66946297697723,0.0
inception_manual_script,sequential,numactl,1,1,8,32,297.47100500389934,300.7643296784954,318.37216700660065,0.0
inception_manual_script,sequential,numactl,1,1,9,32,306.31284599076025,313.8575747417053,331.76199698937126,0.0
inception_manual_script,sequential,numactl,1,1,10,32,264.49866697657853,272.6770714702434,290.44437198899686,0.0
inception_manual_script,sequential,numactl,1,1,11,32,260.91486497898586,267.9199303587666,287.3611469985917,0.0
inception_manual_script,sequential,numactl,1,1,12,32,237.766107020434,246.71447670989437,263.81735000177287,0.0
inception_manual_script,sequential,numactl,1,1,13,32,233.1764280097559,235.84218637057347,257.1643349947408,0.0
inception_manual_script,sequential,numactl,1,1,14,32,227.4384800111875,234.36957724916283,253.91642298200168,0.0
inception_manual_script,sequential,numactl,1,1,15,32,218.95116500672884,224.28073604998644,248.58250899706036,0.0
inception_manual_script,sequential,numactl,1,1,16,32,207.03115698415786,212.78757610882167,238.7292939820327,0.0
inception_manual_script,sequential,numactl,1,1,1,64,3928.898958984064,4084.1390235596914,4204.515719990013,0.0
inception_manual_script,sequential,numactl,1,1,2,64,2179.2810120095965,2196.456970149593,2222.689955990063,0.0
