benchmark,topology,pinning,ht,allocator,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
bert_manual_script,sequential,numactl,false,default,1,1,1,1,133.48352897446603,134.05427038727794,138.8408589991741,0.0
bert_manual_script,sequential,numactl,false,default,1,1,2,1,76.65875600650907,76.8713381967973,80.72943001752719,0.0
bert_manual_script,sequential,numactl,false,default,1,1,3,1,47.25401598261669,47.48472812585533,50.033311010338366,0.0
bert_manual_script,sequential,numactl,false,default,1,1,4,1,37.39061701344326,37.54861057677772,39.698170963674784,0.0
bert_manual_script,sequential,numactl,false,default,1,1,5,1,32.239157997537404,32.404355416074395,34.5988729968667,0.0
bert_manual_script,sequential,numactl,false,default,1,1,6,1,27.662917971611023,27.835328302462585,30.11093003442511,0.0
bert_manual_script,sequential,numactl,false,default,1,1,7,1,25.285755982622504,25.412080149399117,27.6675809873268,0.0
bert_manual_script,sequential,numactl,false,default,1,1,8,1,23.416008974891156,23.77136533090379,26.14422596525401,0.0
bert_manual_script,sequential,numactl,false,default,1,1,9,1,24.537727003917098,24.660580720519647,27.078026963863522,0.0
bert_manual_script,sequential,numactl,false,default,1,1,10,1,21.674500952940434,21.818763439077884,24.341555952560157,0.0
bert_manual_script,sequential,numactl,false,default,1,1,11,1,21.37829299317673,21.508748593041673,24.109435034915805,0.0
bert_manual_script,sequential,numactl,false,default,1,1,12,1,21.27779700094834,21.41188369190786,24.76592705352232,0.0
bert_manual_script,sequential,numactl,false,default,1,1,13,1,20.5817130045034,20.74293365876656,23.433096008375287,0.0
bert_manual_script,sequential,numactl,false,default,1,1,14,1,21.051944990176708,21.237005452858284,24.74592300131917,0.0
bert_manual_script,sequential,numactl,false,default,1,1,15,1,20.647366007324308,20.810146708972752,24.31648102356121,0.0
bert_manual_script,sequential,numactl,false,default,1,1,16,1,21.12096600467339,21.39936643827241,28.269861009903252,0.0
bert_manual_script,sequential,numactl,false,default,1,1,1,2,156.1028480064124,157.1646708069602,169.23197702271864,0.0
bert_manual_script,sequential,numactl,false,default,1,1,2,2,89.10717599792406,89.49086868728045,98.40685699600726,0.0
bert_manual_script,sequential,numactl,false,default,1,1,3,2,55.36718497751281,55.801355747971684,63.29766398994252,0.0
bert_manual_script,sequential,numactl,false,default,1,1,4,2,44.33000198332593,44.668808982823975,51.66231602197513,0.0
bert_manual_script,sequential,numactl,false,default,1,1,5,2,38.3179199998267,38.72867104539182,46.01687198737636,0.0
bert_manual_script,sequential,numactl,false,default,1,1,6,2,32.803680980578065,33.178816263680346,40.05270003108308,0.0
bert_manual_script,sequential,numactl,false,default,1,1,7,2,30.32388904830441,30.70341387472581,37.36885101534426,0.0
bert_manual_script,sequential,numactl,false,default,1,1,8,2,28.089747997000813,28.41566814982798,34.98679003678262,0.0
bert_manual_script,sequential,numactl,false,default,1,1,9,2,29.100910003762692,29.343238550936803,36.775918037164956,0.0
bert_manual_script,sequential,numactl,false,default,1,1,10,2,26.01193595910445,26.37656486709602,33.653785998467356,0.0
bert_manual_script,sequential,numactl,false,default,1,1,11,2,25.549400015734136,25.8777226699749,33.017342968378216,0.0
bert_manual_script,sequential,numactl,false,default,1,1,12,2,25.533678999636322,25.99407574045472,33.82961900206283,0.0
bert_manual_script,sequential,numactl,false,default,1,1,13,2,25.157517986372113,25.435127450618893,33.234771981369704,0.0
bert_manual_script,sequential,numactl,false,default,1,1,14,2,25.23505501449108,25.499284780817106,33.8692840305157,0.0
bert_manual_script,sequential,numactl,false,default,1,1,15,2,24.71048099687323,25.13337542070076,33.68193801725283,0.0
bert_manual_script,sequential,numactl,false,default,1,1,16,2,25.24547796929255,25.67251419299282,34.26164900884032,0.0
bert_manual_script,sequential,numactl,false,default,1,1,1,4,199.86964197596535,202.43360645195935,224.41678901668638,0.0
bert_manual_script,sequential,numactl,false,default,1,1,2,4,110.77185301110148,111.38078458141536,123.5859000007622,0.0
bert_manual_script,sequential,numactl,false,default,1,1,3,4,69.66737104812637,70.62670437968336,81.24449104070663,0.0
bert_manual_script,sequential,numactl,false,default,1,1,4,4,55.03250000765547,55.71592288906686,65.67007798003033,0.0
bert_manual_script,sequential,numactl,false,default,1,1,5,4,47.63782903319225,48.14388176018838,57.76475399034098,0.0
bert_manual_script,sequential,numactl,false,default,1,1,6,4,40.2651890181005,40.84449056535959,49.875155033078045,0.0
bert_manual_script,sequential,numactl,false,default,1,1,7,4,37.40926994942129,38.03758190944791,46.546540048439056,0.0
bert_manual_script,sequential,numactl,false,default,1,1,8,4,34.16955698048696,34.726097597158514,43.219892017077655,0.0
bert_manual_script,sequential,numactl,false,default,1,1,9,4,34.8256109864451,35.34272274468094,44.50118000386283,0.0
bert_manual_script,sequential,numactl,false,default,1,1,10,4,31.404355017002672,31.96995989943389,41.07593698427081,0.0
